,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,66.94,59.7,21.7,18.6,305267,152000,90742,33041,28217
2,Arsenal,65.57,58.1,22.5,19.4,298983,152000,88242,34257,29501
3,Chelsea,59.56,51.3,24.9,23.8,271604,152000,77925,37829,36246
4,Man United,58.04,49.4,25.9,24.7,264648,152000,75095,39363,37542
5,Tottenham,57.4,49.1,24.9,26.0,261727,152000,74620,37867,39513
6,Liverpool,56.52,48.1,25.1,26.7,257747,152000,73175,38222,40603
7,Southampton,51.09,42.1,26.8,31.0,232974,152000,64057,40803,47140
8,Everton,47.33,38.6,26.2,35.2,215837,152000,58692,39761,53547
9,Leicester,46.97,38.2,26.4,35.5,214164,152000,58031,40071,53898
10,West Ham,41.01,32.4,25.9,41.7,187020,152000,49225,39345,63430
11,Bournemouth,40.91,32.1,26.3,41.5,186530,152000,48828,40046,63126
12,Crystal Palace,40.34,31.5,26.5,42.0,183941,152000,47900,40241,63859
13,Swansea,39.76,30.9,26.4,42.6,181289,152000,47036,40181,64783
14,Stoke,39.0,30.0,26.9,43.0,177849,152000,45633,40950,65417
15,Watford,36.7,27.9,26.5,45.6,167339,152000,42343,40310,69347
16,Norwich,36.39,27.6,26.3,46.1,165951,152000,41989,39984,70027
17,Newcastle,35.38,27.0,25.1,47.9,161338,152000,41038,38224,72738
18,West Brom,33.93,25.1,26.4,48.5,154720,152000,38220,40060,73720
19,Sunderland,32.21,23.8,25.3,50.9,146879,152000,36154,38417,77429
20,Aston Villa,29.82,21.6,24.6,53.8,136001,152000,32863,37412,81725
