,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.25,60.0,21.7,18.3,191651,95000,57006,20633,17361
2,Arsenal,65.62,58.1,22.6,19.3,187004,95000,55163,21515,18322
3,Chelsea,59.77,51.5,24.8,23.7,170333,95000,48938,23519,22543
4,Man United,57.95,49.3,25.9,24.8,165165,95000,46866,24567,23567
5,Tottenham,57.48,49.1,25.2,25.8,163806,95000,46635,23901,24464
6,Liverpool,56.64,48.2,25.5,26.4,161428,95000,45750,24178,25072
7,Southampton,51.15,42.3,26.6,31.1,145787,95000,40158,25313,29529
8,Everton,47.13,38.5,26.0,35.5,134319,95000,36542,24693,33765
9,Leicester,47.06,38.2,26.5,35.3,134132,95000,36320,25172,33508
10,Bournemouth,41.04,32.2,26.6,41.2,116956,95000,30551,25303,39146
11,West Ham,40.7,32.1,25.9,42.0,115990,95000,30464,24598,39938
12,Crystal Palace,40.3,31.5,26.5,42.1,114851,95000,29901,25148,39951
13,Swansea,39.66,30.9,26.4,42.8,113017,95000,29328,25033,40639
14,Stoke,38.64,29.7,26.9,43.4,110132,95000,28193,25553,41254
15,Watford,36.85,28.0,26.7,45.4,105035,95000,26569,25328,43103
16,Norwich,36.51,27.8,26.2,46.0,104051,95000,26384,24899,43717
17,Newcastle,35.31,27.0,25.0,48.0,100643,95000,25631,23750,45619
18,West Brom,33.91,25.1,26.5,48.4,96634,95000,23820,25174,46006
19,Sunderland,32.08,23.8,25.0,51.3,91415,95000,22563,23726,48711
20,Aston Villa,29.8,21.6,24.7,53.7,84921,95000,20488,23457,51055
