,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.17,59.9,21.9,18.2,382896,190000,113762,41610,34628
2,Arsenal,65.36,57.8,22.8,19.4,372565,190000,109734,43363,36903
3,Chelsea,59.9,51.6,24.9,23.5,341451,190000,98054,47289,44657
4,Man United,58.2,49.7,25.6,24.7,331738,190000,94352,48682,46966
5,Tottenham,57.46,49.1,24.9,25.9,327514,190000,93373,47395,49232
6,Liverpool,56.78,48.3,25.4,26.3,323628,190000,91821,48165,50014
7,Southampton,50.96,42.0,27.0,31.1,290458,190000,79740,51238,59022
8,Everton,47.03,38.3,26.2,35.5,268058,190000,72778,49724,67498
9,Leicester,46.71,37.9,26.5,35.6,266227,190000,71932,50431,67637
10,Bournemouth,41.0,32.2,26.4,41.4,233692,190000,61167,50191,78642
11,West Ham,40.85,32.2,25.8,41.9,232839,190000,61269,49032,79699
12,Crystal Palace,40.35,31.5,26.4,42.0,230022,190000,59928,50238,79834
13,Swansea,39.67,30.9,26.4,42.7,226110,190000,58634,50208,81158
14,Stoke,39.0,30.0,27.1,43.0,222296,190000,56959,51419,81622
15,Watford,36.6,27.7,26.6,45.7,208618,190000,52678,50584,86738
16,Norwich,36.43,27.7,26.1,46.2,207664,190000,52695,49579,87726
17,Newcastle,35.33,27.0,25.1,47.9,201408,190000,51243,47679,91078
18,West Brom,33.77,24.9,26.5,48.6,192469,190000,47368,50365,92267
19,Sunderland,32.22,23.8,25.2,51.0,183681,190000,45258,47907,96835
20,Aston Villa,29.9,21.6,24.9,53.5,170439,190000,41028,47355,101617
