,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,66.61,59.5,21.3,19.2,7593,3800,2261,810,729
2,Arsenal,65.04,57.4,22.9,19.7,7415,3800,2182,869,749
3,Chelsea,59.28,50.7,25.8,23.5,6758,3800,1926,980,894
4,Man United,58.06,49.2,26.7,24.1,6619,3800,1868,1015,917
5,Tottenham,57.11,48.8,25.0,26.2,6510,3800,1853,951,996
6,Liverpool,56.18,47.9,24.9,27.2,6405,3800,1820,945,1035
7,Southampton,51.34,42.3,27.2,30.6,5853,3800,1607,1032,1161
8,Leicester,47.62,38.7,26.7,34.6,5429,3800,1471,1016,1313
9,Everton,46.35,37.7,25.8,36.4,5284,3800,1434,982,1384
10,Crystal Palace,41.23,32.3,26.7,40.9,4700,3800,1228,1016,1556
11,Bournemouth,40.89,32.2,26.1,41.7,4661,3800,1223,992,1585
12,West Ham,40.05,31.2,26.6,42.2,4566,3800,1185,1011,1604
13,Swansea,39.72,30.8,26.9,42.4,4528,3800,1169,1021,1610
14,Stoke,38.39,29.2,27.4,43.3,4376,3800,1111,1043,1646
15,Norwich,37.18,28.3,26.6,45.1,4238,3800,1076,1010,1714
16,Watford,37.02,28.0,27.0,45.0,4220,3800,1065,1025,1710
17,Newcastle,35.77,27.4,25.1,47.5,4078,3800,1042,952,1806
18,West Brom,34.25,25.6,25.9,48.5,3904,3800,973,985,1842
19,Sunderland,32.32,24.1,24.7,51.2,3685,3800,915,940,1945
20,Aston Villa,30.01,21.9,24.2,53.9,3421,3800,834,919,2047
