,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.21,60.0,21.8,18.3,229863,114000,68354,24801,20845
2,Arsenal,65.23,57.7,22.7,19.6,223080,114000,65731,25887,22382
3,Chelsea,59.75,51.5,24.7,23.8,204331,114000,58729,28144,27127
4,Man United,58.17,49.6,25.8,24.6,198950,114000,56512,29414,28074
5,Tottenham,57.62,49.3,24.9,25.8,197075,114000,56238,28361,29401
6,Liverpool,56.85,48.4,25.3,26.2,194442,114000,55182,28896,29922
7,Southampton,51.3,42.4,26.8,30.9,175438,114000,48305,30523,35172
8,Everton,46.95,38.3,26.1,35.7,160564,114000,43610,29734,40656
9,Leicester,46.75,37.9,26.5,35.6,159880,114000,43231,30187,40582
10,Bournemouth,41.12,32.3,26.3,41.3,140627,114000,36866,30029,47105
11,West Ham,40.75,32.1,25.8,42.0,139365,114000,36643,29436,47921
12,Crystal Palace,40.52,31.7,26.4,41.9,138569,114000,36157,30098,47745
13,Swansea,39.47,30.7,26.2,43.0,134974,114000,35017,29923,49060
14,Stoke,39.04,30.0,27.1,42.9,133517,114000,34200,30917,48883
15,Watford,36.53,27.7,26.6,45.7,124938,114000,31537,30327,52136
16,Norwich,36.3,27.7,25.7,46.6,124130,114000,31611,29297,53092
17,Newcastle,35.33,27.0,25.0,48.0,120829,114000,30758,28555,54687
18,West Brom,33.97,25.2,26.3,48.5,116176,114000,28728,29992,55280
19,Sunderland,32.3,23.8,25.5,50.7,110449,114000,27140,29029,57831
20,Aston Villa,29.8,21.6,24.7,53.7,101921,114000,24569,28214,61217
