,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.78,60.6,21.7,17.8,38633,19000,11506,4115,3379
2,Arsenal,65.38,57.8,22.8,19.4,37264,19000,10979,4327,3694
3,Chelsea,59.47,51.2,24.7,24.0,33897,19000,9732,4701,4567
4,Man United,57.8,49.2,25.9,24.9,32945,19000,9342,4919,4739
5,Tottenham,57.04,48.9,24.5,26.6,32513,19000,9287,4652,5061
6,Liverpool,56.61,48.1,25.6,26.3,32268,19000,9133,4869,4998
7,Southampton,51.11,42.1,27.0,30.9,29132,19000,7999,5135,5866
8,Leicester,46.5,37.5,26.9,35.6,26504,19000,7134,5102,6764
9,Everton,46.47,37.6,26.5,35.9,26486,19000,7151,5033,6816
10,Bournemouth,41.33,32.4,26.9,40.7,23556,19000,6148,5112,7740
11,West Ham,41.06,32.4,26.1,41.5,23405,19000,6147,4964,7889
12,Crystal Palace,40.8,32.0,26.4,41.6,23258,19000,6082,5012,7906
13,Swansea,39.8,31.0,26.3,42.7,22687,19000,5896,4999,8105
14,Stoke,38.34,29.3,27.0,43.7,21854,19000,5575,5129,8296
15,Watford,36.78,28.0,26.2,45.7,20963,19000,5327,4982,8691
16,Norwich,36.52,27.7,26.6,45.8,20816,19000,5256,5048,8696
17,Newcastle,35.54,27.3,24.8,47.9,20260,19000,5180,4720,9100
18,West Brom,34.12,25.3,26.5,48.2,19448,19000,4807,5027,9166
19,Sunderland,32.0,23.5,25.5,51.0,18241,19000,4463,4852,9685
20,Aston Villa,30.08,21.7,25.0,53.2,17143,19000,4129,4756,10115
