,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.15,60.1,21.3,18.6,76556,38000,22820,8096,7084
2,Arsenal,65.48,57.9,22.6,19.4,74644,38000,22014,8602,7384
3,Chelsea,59.76,51.4,25.0,23.6,68130,38000,19549,9483,8968
4,Man United,58.33,49.9,25.2,24.8,66500,38000,18971,9587,9442
5,Tottenham,57.29,48.9,25.2,25.9,65305,38000,18575,9580,9845
6,Liverpool,56.54,48.1,25.3,26.6,64455,38000,18277,9624,10099
7,Southampton,51.21,42.4,26.5,31.1,58379,38000,16107,10058,11835
8,Leicester,46.99,38.3,26.2,35.6,53571,38000,14540,9951,13509
9,Everton,46.94,38.4,25.8,35.9,53514,38000,14573,9795,13632
10,Bournemouth,41.07,32.2,26.6,41.2,46818,38000,12233,10119,15648
11,West Ham,40.81,32.3,25.6,42.1,46520,38000,12258,9746,15996
12,Crystal Palace,40.24,31.3,26.9,41.8,45872,38000,11882,10226,15892
13,Swansea,39.9,31.1,26.4,42.5,45490,38000,11814,10048,16138
14,Stoke,38.91,29.9,27.0,43.1,44355,38000,11359,10278,16363
15,Watford,36.87,28.2,26.1,45.8,42029,38000,10709,9902,17389
16,Norwich,36.17,27.6,25.6,46.8,41239,38000,10502,9733,17765
17,Newcastle,35.36,26.8,25.6,47.6,40315,38000,10202,9709,18089
18,West Brom,33.61,24.8,26.4,48.8,38312,38000,9431,10019,18550
19,Sunderland,32.39,23.9,25.6,50.6,36927,38000,9068,9723,19209
20,Aston Villa,30.02,21.8,24.8,53.5,34222,38000,8269,9415,20316
