,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.29,60.1,21.5,18.4,92049,45600,27417,9798,8385
2,Arsenal,65.2,57.6,22.8,19.6,89199,45600,26272,10383,8945
3,Chelsea,59.44,51.2,24.7,24.1,81310,45600,23350,11260,10990
4,Man United,57.99,49.4,25.8,24.8,79337,45600,22523,11768,11309
5,Tottenham,57.56,49.2,25.2,25.7,78736,45600,22418,11482,11700
6,Liverpool,56.72,48.3,25.3,26.4,77594,45600,22012,11558,12030
7,Southampton,51.6,42.6,26.9,30.5,70589,45600,19440,12269,13891
8,Everton,47.16,38.5,25.9,35.5,64513,45600,17560,11833,16207
9,Leicester,46.82,37.9,26.7,35.4,64052,45600,17297,12161,16142
10,Bournemouth,41.01,32.2,26.6,41.3,56099,45600,14661,12116,18823
11,West Ham,40.82,32.2,25.8,42.0,55840,45600,14687,11779,19134
12,Crystal Palace,40.23,31.3,26.7,42.0,55035,45600,14293,12156,19151
13,Swansea,39.79,31.1,26.1,42.8,54435,45600,14175,11910,19515
14,Stoke,38.79,29.8,27.0,43.2,53070,45600,13581,12327,19692
15,Watford,36.67,27.8,26.7,45.5,50168,45600,12660,12188,20752
16,Norwich,36.35,27.5,26.4,46.0,49723,45600,12554,12061,20985
17,Newcastle,35.3,27.0,24.9,48.1,48293,45600,12307,11372,21921
18,West Brom,34.06,25.3,26.4,48.4,46597,45600,11524,12025,22051
19,Sunderland,32.05,23.6,25.4,51.0,43844,45600,10757,11573,23270
20,Aston Villa,29.85,21.6,24.9,53.6,40837,45600,9832,11341,24427
