,Club,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
19,Stoke,457,421.8479461,378,1.077326001,1.102949222,0.892127998,116,109,153,107.6740001,98.82594574,171.5000541,-124,-147.9078155,-28.91336413,52.82117961,0.932273462,0.908108501,398,426.9133641,522,574.8211796,215,239.5510349,-289,-322.5663028,183,187.3623292,233,252.2548768,0.975528811,3872,3969.129312,1.078271847,5063,4695.476391,0.902944066,1497,1657.910004,1.129422651,2290,2027.584624,0.892791604,4450,4984.365872,0.805337028,3910,4855.110174,1.000338382,683,682.7689636,0.843357863,530,628.440219,0.69837944,29,41.52470468,0.549934999,20,36.36793447
20,Newcastle,899,892.6342303,707,1.015953467,0.97314154,1.004084835,240,179,288,236.2312918,183.9403547,286.8283534,-145,-124.5067951,-1.053271266,-19.43993366,0.998790807,1.019526631,870,871.0532713,1015,995.5600663,478,489.5247991,-578,-558.2794737,392,381.5284722,437,437.2805926,1.054593145,8190,7766.028102,1.044593095,8768,8393.69898,1.152751075,3786,3284.317041,1.101615865,3967,3601.073773,0.897577373,8301,9248.227786,0.924315417,8448,9139.737195,0.886277067,1101,1242.275176,0.975205614,1173,1202.823264,0.947477817,71,74.93579138,0.593759859,42,70.73566756
21,Bolton,494,480.3022986,409,1.037848183,0.996132857,0.975808008,129,107,173,124.295636,107.4153907,177.2889733,-118,-122.8111157,8.0002323,-3.189116639,1.016771984,1.00531687,485,476.9997677,603,599.8108834,263,267.5673429,-351,-336.498273,222,209.4324248,252,263.3126103,1.074392493,4695,4369.911398,1.006568931,5002,4969.356641,1.367417632,2517,1840.695878,1.257116236,2698,2146.181811,0.976817873,5259,5383.808124,0.934901169,4925,5267.936508,0.969562329,708,730.2263904,0.799541087,548,685.3931697,0.771371769,34,44.0773196,0.647525932,26,40.15283208
22,Middlesbrough,374,398.2204097,332,0.890799233,1.108769297,1.011859616,92,98,142,103.2780413,88.38628586,140.3356729,-84,-85.91420256,-36.14669985,38.06090241,0.907823527,0.920384825,356,392.1466999,440,478.0609024,191,220.0596829,-255,-267.9578372,165,172.0870169,185,210.1030652,0.967735175,3454,3569.158268,1.048272923,4186,3993.234878,1.151338491,1734,1506.07316,1.194850732,2060,1724.064726,0.974423353,4250,4361.553924,0.967305452,4144,4284.065589,0.937313361,552,588.9172427,0.902778715,504,558.2763436,0.694893141,25,35.97675461,0.487918718,16,32.79234716
23,Wigan,331,324.4126354,301,1.03317977,0.97935919,0.992007635,85,76,140,82.27029071,77.60176325,141.127946,-157,-136.9472374,-17.42579776,-2.626964792,0.947579887,1.005596753,315,332.4257978,472,469.3730352,173,186.327543,-286,-262.5338088,142,146.0982548,186,206.8392264,1.13598248,3543,3118.88613,0.921148034,3484,3782.236806,1.414746782,1842,1301.99978,1.167985419,1917,1641.287613,0.921904493,3657,3966.788348,0.936219583,3594,3838.843008,0.942415852,514,545.4067847,0.99281852,491,494.5516126,0.811701294,27,33.26346797,0.669790024,19,28.3670991
24,Brighton,158,166.8830279,151,0.842611334,1.291654083,0.934369579,36,50,65,42.72432445,38.71005454,69.56562102,-63,-64.566,-23.10353572,24.66953572,0.864179568,0.894875423,147,170.1035357,210,234.6695357,81,95.38224708,-117,-131.344178,66,74.72128864,93,103.3253577,1.070918669,1690,1578.084357,1.044854408,1973,1888.301361,0.773186983,509,658.3142382,0.789617583,644,815.5846751,0.846528314,1676,1979.851084,0.687759146,1323,1923.638541,0.787816331,215,272.9062494,0.772076046,193,249.9753763,0.857827909,14,16.32028971,0.488166267,7,14.33937671
25,West Brom,490,515.8037196,491,0.901412723,1.099553579,1.000899532,117,139,235,129.7962598,126.4149402,234.7888,-253,-240.1821501,-26.27342138,13.45557146,0.950915886,0.982648172,509,535.2734214,762,775.4555715,299,299.835412,-397,-434.7001203,210,235.4380093,365,340.7554512,1.055516095,5335,5054.399478,1.06627374,6634,6221.666868,1.099901972,2315,2104.733021,1.090883393,2945,2699.646927,0.867926468,5625,6480.963779,0.86299308,5407,6265.403656,0.856305639,767,895.7082207,0.81830495,659,805.3232479,0.642852576,35,54.44483124,0.889050318,41,46.11662487
26,QPR,92,115.3916897,114,0.756438825,0.923927116,1.162471103,22,26,66,29.0836473,28.14074785,56.77560485,-84,-64.51767236,-6.117897456,-13.36443018,0.949488081,1.071992831,115,121.1178975,199,185.6355698,67,67.7201625,-101,-104.0005436,48,53.39773496,98,81.63502619,1.286426235,1492,1159.802218,1.173086559,1724,1469.627272,1.369869046,660,481.7978782,1.357463032,867,638.6914263,0.807337752,1220,1511.13954,0.88777441,1289,1451.945432,0.910890341,191,209.6849548,0.984760261,183,185.8320317,1.176638692,15,12.74817843,0.743838275,8,10.75502602
27,Leeds,255,256.7094162,180,1.040475587,0.778736262,1.116158605,73,36,71,70.16022377,46.22874491,63.61103132,1,13.69265215,17.96071104,-30.6533632,1.073900443,1.133655168,261,243.039289,260,229.3466368,138,136.5297601,-132,-128.6445426,123,106.5095288,128,100.7020942,1.017047673,2118,2082.49825,1.164315046,2349,2017.495185,1.115927347,994,890.7389918,1.229229747,1054,857.4475214,1.076173752,2518,2339.770873,1.036463228,2433,2347.405999,1.054667757,325,308.1539165,0.967116325,304,314.3365407,0.711286385,13,18.27674517,0.526547534,10,18.9916377
28,Blackburn,518,502.3646302,409,1.042329548,0.990231365,0.973404889,137,107,165,131.4363583,108.0555553,169.5080864,-78,-89.54841988,11.85325623,-0.304836353,1.024133839,1.000524951,503,491.1467438,581,580.6951636,279,275.2165661,-336,-325.0583204,224,215.9301777,245,255.6368432,1.020937909,4530,4437.096476,1.003096435,4899,4883.87739,1.245552494,2337,1876.275799,1.268171242,2667,2103.028291,1.042792117,5603,5373.074759,0.947834633,5015,5291.007341,1.025078249,742,723.84718,0.920483845,636,690.9409692,1.113672486,49,43.99857285,0.829251643,34,41.00082317
