Category: All categories

Week,World Cup: (Worldwide),Super Bowl: (Worldwide),Summer Olympic Games: (Worldwide),Olympic Games Beijing 2022: (Worldwide),ICC Cricket World Cup: (Worldwide)
2017-06-25,1,<1,<1,<1,<1
2017-07-02,1,<1,<1,<1,<1
2017-07-09,<1,<1,<1,<1,<1
2017-07-16,<1,<1,<1,<1,<1
2017-07-23,<1,<1,<1,<1,<1
2017-07-30,<1,<1,<1,<1,<1
2017-08-06,1,<1,<1,<1,<1
2017-08-13,<1,<1,<1,<1,<1
2017-08-20,<1,<1,<1,<1,<1
2017-08-27,2,<1,<1,<1,<1
2017-09-03,2,<1,<1,<1,<1
2017-09-10,<1,<1,<1,<1,<1
2017-09-17,<1,<1,<1,<1,<1
2017-09-24,<1,<1,<1,<1,<1
2017-10-01,2,<1,<1,<1,<1
2017-10-08,4,<1,<1,<1,<1
2017-10-15,1,<1,<1,<1,<1
2017-10-22,1,<1,<1,<1,<1
2017-10-29,1,<1,<1,<1,<1
2017-11-05,1,<1,<1,<1,<1
2017-11-12,3,<1,<1,<1,<1
2017-11-19,1,<1,<1,<1,<1
2017-11-26,3,<1,<1,<1,<1
2017-12-03,1,<1,<1,<1,<1
2017-12-10,1,<1,<1,<1,<1
2017-12-17,1,<1,<1,<1,<1
2017-12-24,1,<1,<1,<1,<1
2017-12-31,1,1,<1,<1,<1
2018-01-07,1,1,<1,<1,<1
2018-01-14,1,1,<1,<1,<1
2018-01-21,1,3,<1,<1,<1
2018-01-28,1,4,1,<1,<1
2018-02-04,1,13,3,<1,<1
2018-02-11,1,<1,6,<1,<1
2018-02-18,1,<1,5,<1,<1
2018-02-25,1,<1,2,<1,<1
2018-03-04,1,<1,<1,<1,<1
2018-03-11,1,<1,<1,<1,<1
2018-03-18,2,<1,<1,<1,<1
2018-03-25,2,<1,<1,<1,<1
2018-04-01,1,<1,<1,<1,<1
2018-04-08,1,<1,<1,<1,<1
2018-04-15,1,<1,<1,<1,<1
2018-04-22,1,<1,<1,<1,<1
2018-04-29,2,<1,<1,<1,<1
2018-05-06,2,<1,<1,<1,<1
2018-05-13,4,<1,<1,<1,<1
2018-05-20,4,<1,<1,<1,<1
2018-05-27,6,<1,<1,<1,<1
2018-06-03,10,<1,<1,<1,<1
2018-06-10,48,<1,<1,<1,2
2018-06-17,93,<1,<1,<1,3
2018-06-24,100,<1,<1,<1,2
2018-07-01,79,<1,<1,<1,2
2018-07-08,42,<1,<1,<1,1
2018-07-15,18,<1,<1,<1,<1
2018-07-22,2,<1,<1,<1,<1
2018-07-29,1,<1,<1,<1,<1
2018-08-05,1,<1,<1,<1,<1
2018-08-12,1,<1,<1,<1,<1
2018-08-19,1,<1,<1,<1,<1
2018-08-26,1,<1,<1,<1,<1
2018-09-02,1,<1,<1,<1,<1
2018-09-09,1,<1,<1,<1,<1
2018-09-16,1,<1,<1,<1,<1
2018-09-23,1,<1,<1,<1,<1
2018-09-30,1,<1,<1,<1,<1
2018-10-07,1,<1,<1,<1,<1
2018-10-14,1,<1,<1,<1,<1
2018-10-21,<1,<1,<1,<1,<1
2018-10-28,<1,<1,<1,<1,<1
2018-11-04,1,<1,<1,<1,<1
2018-11-11,<1,<1,<1,<1,<1
2018-11-18,1,<1,<1,<1,<1
2018-11-25,<1,<1,<1,<1,<1
2018-12-02,<1,<1,<1,<1,<1
2018-12-09,1,<1,<1,<1,<1
2018-12-16,1,<1,<1,<1,<1
2018-12-23,1,<1,<1,<1,<1
2018-12-30,1,1,<1,<1,<1
2019-01-06,<1,1,<1,<1,<1
2019-01-13,1,1,<1,<1,<1
2019-01-20,1,3,<1,<1,<1
2019-01-27,<1,4,<1,<1,<1
2019-02-03,<1,13,<1,<1,<1
2019-02-10,<1,<1,<1,<1,<1
2019-02-17,<1,<1,<1,<1,<1
2019-02-24,<1,<1,<1,<1,<1
2019-03-03,<1,<1,<1,<1,<1
2019-03-10,<1,<1,<1,<1,<1
2019-03-17,1,<1,<1,<1,<1
2019-03-24,1,<1,<1,<1,<1
2019-03-31,<1,<1,<1,<1,<1
2019-04-07,<1,<1,<1,<1,<1
2019-04-14,1,<1,<1,<1,1
2019-04-21,<1,<1,<1,<1,<1
2019-04-28,<1,<1,<1,<1,<1
2019-05-05,<1,<1,1,<1,<1
2019-05-12,1,<1,<1,<1,1
2019-05-19,1,<1,1,<1,1
2019-05-26,1,<1,1,<1,3
2019-06-02,3,<1,<1,<1,7
2019-06-09,4,<1,<1,<1,8
2019-06-16,5,<1,1,<1,11
2019-06-23,5,<1,<1,<1,13
2019-06-30,6,<1,<1,<1,16
2019-07-07,4,<1,<1,<1,10
2019-07-14,2,<1,<1,<1,4
2019-07-21,1,<1,<1,<1,<1
2019-07-28,1,<1,<1,<1,<1
2019-08-04,<1,<1,<1,<1,<1
2019-08-11,<1,<1,<1,<1,<1
2019-08-18,<1,<1,<1,<1,<1
2019-08-25,<1,<1,<1,<1,<1
2019-09-01,1,<1,<1,<1,<1
2019-09-08,1,<1,<1,<1,<1
2019-09-15,1,<1,<1,<1,<1
2019-09-22,1,<1,<1,<1,<1
2019-09-29,1,<1,<1,<1,<1
2019-10-06,1,<1,<1,<1,<1
2019-10-13,1,<1,<1,<1,<1
2019-10-20,1,<1,<1,<1,<1
2019-10-27,1,<1,<1,<1,<1
2019-11-03,<1,<1,<1,<1,<1
2019-11-10,1,<1,<1,<1,<1
2019-11-17,1,<1,<1,<1,<1
2019-11-24,<1,<1,<1,<1,<1
