,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,39.31,29.1,30.6,40.3,401,340,99,104,137
2,Atlas,56.67,46.8,29.7,23.5,578,340,159,101,80
3,Club America,52.55,43.5,27.1,29.4,536,340,148,92,100
4,Club Leon,52.75,42.1,32.1,25.9,538,340,143,109,88
5,Club Tijuana,40.1,30.9,27.6,41.5,409,340,105,94,141
6,Cruz Azul,52.84,43.5,27.9,28.5,539,340,148,95,97
7,Guadalajara Chivas,46.57,36.8,29.4,33.8,475,340,125,100,115
8,Juarez,34.71,26.2,25.6,48.2,354,340,89,87,164
9,Mazatlan FC,28.73,19.4,27.9,52.6,293,340,66,95,179
10,Monterrey,56.18,47.9,24.7,27.4,573,340,163,84,93
11,Necaxa,42.06,32.9,27.4,39.7,429,340,112,93,135
12,Pachuca,53.33,43.8,28.5,27.6,544,340,149,97,94
13,Puebla,45.39,37.1,25,37.9,463,340,126,85,129
14,Queretaro,32.75,23.5,27.6,48.8,334,340,80,94,166
15,Santos Laguna,51.47,42.1,28.2,29.7,525,340,143,96,101
16,Toluca,42.16,33.8,25,41.2,430,340,115,85,140
17,U.A.N.L.- Tigres,52.65,43.8,26.5,29.7,537,340,149,90,101
18,U.N.A.M.- Pumas,36.67,27.4,27.9,44.7,374,340,93,95,152
