,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,36.86,27.1,29.4,43.5,282,255,69,75,111
2,Atlas,55.95,45.1,32.5,22.4,428,255,115,83,57
3,Club America,58.3,48.2,30.2,21.6,446,255,123,77,55
4,Club Leon,49.28,40.8,25.5,33.7,377,255,104,65,86
5,Club Tijuana,37.39,27.5,29.8,42.7,286,255,70,76,109
6,Cruz Azul,54.25,44.3,29.8,25.9,415,255,113,76,66
7,Guadalajara Chivas,49.02,38.8,30.6,30.6,375,255,99,78,78
8,Juarez,33.2,23.5,29,47.5,254,255,60,74,121
9,Mazatlan FC,33.07,25.1,23.9,51,253,255,64,61,130
10,Monterrey,62.75,53.7,27.1,19.2,480,255,137,69,49
11,Necaxa,46.41,38,25.1,36.9,355,255,97,64,94
12,Pachuca,50.85,39.6,33.7,26.7,389,255,101,86,68
13,Puebla,39.48,29.8,29,41.2,302,255,76,74,105
14,Queretaro,35.16,24.7,31.4,43.9,269,255,63,80,112
15,Santos Laguna,48.63,40,25.9,34.1,372,255,102,66,87
16,Toluca,40.78,32.2,25.9,42,312,255,82,66,107
17,U.A.N.L.- Tigres,47.84,38,29.4,32.5,366,255,97,75,83
18,U.N.A.M.- Pumas,34.51,24.7,29.4,45.9,264,255,63,75,117
