Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,2,7,6,8,9,22,20,17,13,36,32,48,47,41,59,66,82,85,0,0
Necaxa,6,10,13,29,20,37,30,42,37,43,54,55,57,45,40,34,26,22,0,0
Juarez,1,0,2,1,3,12,8,15,19,25,28,20,41,41,65,79,101,139,0,0
Pachuca,47,49,55,54,45,40,60,49,34,29,29,27,18,15,24,14,8,3,0,0
Guadalajara Chivas,7,10,20,28,32,41,33,38,51,53,47,48,36,34,39,36,32,15,0,0
U.N.A.M.- Pumas,1,2,8,5,10,13,18,20,30,29,28,54,47,68,56,77,80,54,0,0
Monterrey,118,87,64,53,42,45,34,34,30,21,19,20,11,9,7,5,0,1,0,0
Club Tijuana,7,10,16,13,21,25,24,34,49,50,40,37,49,57,32,49,48,39,0,0
Cruz Azul,57,50,46,56,60,57,46,38,39,33,34,22,18,11,14,10,4,5,0,0
Mazatlan FC,1,1,3,7,8,8,10,19,21,25,41,37,32,39,65,63,90,130,0,0
Puebla,6,12,15,19,21,28,27,39,35,28,45,50,67,73,44,39,27,25,0,0
Club Leon,52,56,56,65,69,47,44,47,26,46,21,16,21,19,7,3,2,3,0,0
Club America,109,99,83,54,59,33,39,28,23,17,14,12,11,10,6,1,1,1,0,0
Atlas,73,69,68,69,58,42,35,36,37,33,23,15,12,10,9,5,4,2,0,0
Toluca,6,16,13,22,20,36,38,36,44,36,46,51,39,48,40,51,34,24,0,0
Santos Laguna,35,45,54,37,52,52,51,46,41,34,35,29,21,28,16,14,6,4,0,0
Atl. San Luis,8,8,19,20,20,25,36,25,34,40,36,46,48,39,56,44,53,43,0,0
U.A.N.L.- Tigres,64,69,59,60,51,37,47,37,37,22,28,13,25,13,21,10,2,5,0,0
