,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.3,60.1,21.6,18.3,383637,190000,114182,41091,34727
2,Arsenal,65.54,58.0,22.7,19.4,373572,190000,110173,43053,36774
3,Chelsea,59.83,51.6,24.8,23.6,341058,190000,97996,47070,44934
4,Man United,58.12,49.6,25.6,24.8,331301,190000,94224,48629,47147
5,Tottenham,57.46,49.1,25.1,25.8,327500,190000,93258,47726,49016
6,Liverpool,56.69,48.3,25.3,26.5,323128,190000,91703,48019,50278
7,Southampton,51.24,42.4,26.7,31.0,292054,190000,80472,50638,58890
8,Everton,47.13,38.4,26.1,35.5,268661,190000,73049,49514,67437
9,Leicester,46.69,37.8,26.5,35.6,266155,190000,71907,50434,67659
10,Bournemouth,41.16,32.3,26.5,41.2,234636,190000,61433,50337,78230
11,West Ham,40.87,32.3,25.8,42.0,232938,190000,61337,48927,79736
12,Crystal Palace,40.19,31.3,26.6,42.1,229087,190000,59526,50509,79965
13,Swansea,39.47,30.7,26.4,42.9,224995,190000,58257,50224,81519
14,Stoke,38.86,29.8,27.1,43.1,221515,190000,56672,51499,81829
15,Watford,36.64,27.9,26.3,45.8,208875,190000,52982,49929,87089
16,Norwich,36.53,27.9,26.0,46.1,208207,190000,52921,49444,87635
17,Newcastle,35.42,27.1,25.0,47.9,201883,190000,51448,47539,91013
18,West Brom,33.7,24.9,26.5,48.6,192070,190000,47217,50419,92364
19,Sunderland,32.19,23.8,25.3,51.0,183484,190000,45148,48040,96812
20,Aston Villa,29.85,21.6,24.8,53.6,170145,190000,40996,47157,101847
