Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,3,6,6,5,12,14,14,17,26,15,25,32,32,44,46,50,62,91,0,0
Necaxa,6,8,13,19,21,19,28,46,32,42,42,43,39,40,33,27,27,15,0,0
Juarez,2,1,4,2,3,14,13,10,17,19,24,34,20,40,47,69,85,96,0,0
Pachuca,43,59,43,32,43,38,26,39,41,36,19,22,15,15,14,7,7,1,0,0
Guadalajara Chivas,6,22,18,30,19,39,25,37,36,41,28,44,35,34,34,15,22,15,0,0
U.N.A.M.- Pumas,2,3,1,7,7,8,21,17,25,26,36,33,45,40,54,63,67,45,0,0
Monterrey,82,74,65,53,41,40,32,22,17,17,19,13,6,9,7,2,1,0,0,0
Club Tijuana,3,11,9,9,15,19,25,37,36,33,39,42,42,40,41,41,28,30,0,0
Cruz Azul,46,40,55,49,47,37,43,37,28,35,21,18,16,10,10,6,1,1,0,0
Mazatlan FC,0,0,2,0,9,10,10,11,13,10,22,27,35,47,50,63,77,114,0,0
Puebla,4,11,14,21,20,15,25,25,33,33,32,37,46,45,46,50,29,14,0,0
Club Leon,51,40,56,51,44,37,35,31,29,30,29,17,18,9,10,5,6,2,0,0
Club America,101,70,58,48,51,35,34,27,13,17,12,8,10,7,4,2,2,1,0,0
Atlas,63,47,59,59,41,45,41,28,30,19,16,13,12,10,9,3,3,2,0,0
Toluca,4,13,13,20,22,22,25,24,39,39,35,42,42,38,41,30,29,22,0,0
Santos Laguna,37,40,33,38,46,43,37,34,28,37,35,21,16,23,9,9,8,6,0,0
Atl. San Luis,4,5,5,11,8,27,23,25,31,27,44,34,50,40,36,51,40,39,0,0
U.A.N.L.- Tigres,43,50,46,46,51,38,43,33,26,24,22,20,21,9,9,7,6,6,0,0
