,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,36.8,28.1,26.2,45.7,488,442,124,116,202
2,Atlas,56.18,45.9,30.8,23.3,745,442,203,136,103
3,Club America,61.16,53.4,23.3,23.3,811,442,236,103,103
4,Club Leon,51.28,42.1,27.6,30.3,680,442,186,122,134
5,Club Tijuana,40.5,31.2,27.8,41,537,442,138,123,181
6,Cruz Azul,49.4,38.2,33.5,28.3,655,442,169,148,125
7,Guadalajara Chivas,48.42,38,31.2,30.8,642,442,168,138,136
8,Juarez,36.05,26.5,28.7,44.8,478,442,117,127,198
9,Mazatlan FC,31.83,23.1,26.2,50.7,422,442,102,116,224
10,Monterrey,57.47,48,28.5,23.5,762,442,212,126,104
11,Necaxa,44.42,35.7,26,38.2,589,442,158,115,169
12,Pachuca,52.79,43.9,26.7,29.4,700,442,194,118,130
13,Puebla,39.29,28.7,31.7,39.6,521,442,127,140,175
14,Queretaro,34.39,26.2,24.4,49.3,456,442,116,108,218
15,Santos Laguna,50.83,42.3,25.6,32.1,674,442,187,113,142
16,Toluca,40.95,33.3,23.1,43.7,543,442,147,102,193
17,U.A.N.L.- Tigres,51.28,42.8,25.6,31.7,680,442,189,113,140
18,U.N.A.M.- Pumas,35.14,27.1,24,48.9,466,442,120,106,216
