,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,39.87,31,26.5,42.5,366,306,95,81,130
2,Atlas,52.07,40.8,33.7,25.5,478,306,125,103,78
3,Club America,58.93,50.7,24.8,24.5,541,306,155,76,75
4,Club Leon,54.9,45.8,27.5,26.8,504,306,140,84,82
5,Club Tijuana,37.58,28.8,26.5,44.8,345,306,88,81,137
6,Cruz Azul,54.58,43.5,33.3,23.2,501,306,133,102,71
7,Guadalajara Chivas,42.48,33.3,27.5,39.2,390,306,102,84,120
8,Juarez,31.48,23.5,23.9,52.6,289,306,72,73,161
9,Mazatlan FC,36.93,27.8,27.5,44.8,339,306,85,84,137
10,Monterrey,52.18,43.1,27.1,29.7,479,306,132,83,91
11,Necaxa,47.6,39.9,23.2,36.9,437,306,122,71,113
12,Pachuca,51.09,41.5,28.8,29.7,469,306,127,88,91
13,Puebla,41.72,32,29.1,38.9,383,306,98,89,119
14,Queretaro,36.38,27.8,25.8,46.4,334,306,85,79,142
15,Santos Laguna,49.35,40.8,25.5,33.7,453,306,125,78,103
16,Toluca,40.74,32,26.1,41.8,374,306,98,80,128
17,U.A.N.L.- Tigres,52.83,44.1,26.1,29.7,485,306,135,80,91
18,U.N.A.M.- Pumas,37.15,27.1,30.1,42.8,341,306,83,92,131
