,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,57.82,48.4,28.2,23.4,2654,1530,741,431,358
2,Monterrey,55.97,46.9,27.1,25.9,2569,1530,718,415,397
3,Atlas,53.4,43.6,29.4,27.0,2451,1530,667,450,413
4,Cruz Azul,53.38,44.1,28.0,28.0,2450,1530,674,428,428
5,Club Leon,52.61,44.3,24.9,30.8,2415,1530,678,381,471
6,U.A.N.L.- Tigres,52.09,43.1,27.1,29.9,2391,1530,659,414,457
7,Pachuca,51.81,42.3,28.6,29.2,2378,1530,647,437,446
8,Santos Laguna,50.7,42.3,25.2,32.5,2327,1530,647,386,497
9,Guadalajara Chivas,44.51,35.5,27.1,37.5,2043,1530,543,414,573
10,Toluca,44.14,35.4,26.3,38.3,2026,1530,541,403,586
11,Necaxa,40.74,31.8,26.7,41.4,1870,1530,487,409,634
12,Puebla,40.41,30.4,30.1,39.5,1855,1530,465,460,605
13,Club Tijuana,40.26,30.8,28.2,40.9,1848,1530,472,432,626
14,Atl. San Luis,40.09,30.8,27.9,41.3,1840,1530,471,427,632
15,U.N.A.M.- Pumas,36.78,27.5,27.8,44.7,1688,1530,421,425,684
16,Queretaro,35.53,25.8,29.2,45.0,1631,1530,395,446,689
17,Juarez,33.55,24.0,28.7,47.3,1540,1530,367,439,724
18,Mazatlan FC,32.96,23.3,29.1,47.6,1513,1530,356,445,729
