Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,16,49,47,68,98,113,167,165,209,262,294,368,413,417,466,539,572,737,0,0
Necaxa,80,102,162,168,251,270,298,318,381,364,404,400,388,369,357,297,232,159,0,0
Juarez,6,13,24,34,55,72,73,134,128,193,192,239,304,425,481,694,835,1098,0,0
Pachuca,394,429,447,423,434,394,396,355,322,287,232,234,171,138,137,100,69,38,0,0
Guadalajara Chivas,92,149,197,228,276,293,339,336,356,372,346,365,311,343,291,302,244,160,0,0
U.N.A.M.- Pumas,18,41,42,72,98,121,141,182,218,240,349,313,415,476,535,513,670,556,0,0
Monterrey,912,691,579,542,407,364,300,271,201,202,159,132,86,56,40,36,20,2,0,0
Club Tijuana,44,79,112,139,172,203,239,293,323,332,386,381,438,414,417,412,361,255,0,0
Cruz Azul,506,489,495,435,430,376,391,337,318,307,237,191,155,133,90,55,37,18,0,0
Mazatlan FC,7,10,28,37,63,76,93,130,142,192,228,258,367,409,484,587,766,1123,0,0
Puebla,58,111,123,156,177,253,268,300,308,315,355,431,432,455,414,350,292,202,0,0
Club Leon,494,474,488,471,449,391,379,324,305,272,233,190,168,135,120,49,37,21,0,0
Club America,912,712,576,531,408,424,331,242,239,161,130,106,82,66,41,22,10,7,0,0
Atlas,605,639,529,522,465,384,357,326,246,210,194,167,107,95,79,43,21,11,0,0
Toluca,62,119,141,148,219,248,257,312,371,385,382,402,387,348,378,380,255,206,0,0
Santos Laguna,292,361,408,419,402,403,384,328,361,313,287,244,230,185,154,103,87,39,0,0
Atl. San Luis,49,77,101,132,177,215,236,267,263,324,343,405,371,418,404,430,445,343,0,0
U.A.N.L.- Tigres,453,455,501,475,419,400,351,380,309,269,249,174,175,118,112,88,47,25,0,0
