,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,57.35,48.3,27.3,24.5,17550,10200,4922,2784,2494
2,Monterrey,56.44,47.5,26.7,25.8,17270,10200,4850,2720,2630
3,Atlas,54.41,44.7,29.1,26.2,16650,10200,4562,2964,2674
4,Club Leon,53.03,44.2,26.5,29.3,16226,10200,4509,2699,2992
5,Cruz Azul,52.14,42.2,29.8,28.0,15954,10200,4304,3042,2854
6,U.A.N.L.- Tigres,52.02,43.1,26.9,30.1,15918,10200,4393,2739,3068
7,Pachuca,50.79,41.2,28.7,30.1,15543,10200,4205,2928,3067
8,Santos Laguna,49.92,41.0,26.9,32.2,15276,10200,4178,2742,3280
9,Guadalajara Chivas,43.52,33.6,29.6,36.7,13316,10200,3431,3023,3746
10,Necaxa,42.64,33.2,28.4,38.4,13047,10200,3383,2898,3919
11,Toluca,42.14,33.4,26.3,40.4,12894,10200,3405,2679,4116
12,Puebla,41.47,32.0,28.3,39.6,12690,10200,3267,2889,4044
13,Club Tijuana,40.88,31.9,27.0,41.1,12510,10200,3252,2754,4194
14,Atl. San Luis,40.46,30.8,29.0,40.2,12380,10200,3142,2954,4104
15,U.N.A.M.- Pumas,36.6,27.4,27.6,45.0,11200,10200,2795,2815,4590
16,Queretaro,36.14,26.4,29.2,44.4,11060,10200,2693,2981,4526
17,Mazatlan FC,33.99,24.8,27.6,47.6,10401,10200,2528,2817,4855
18,Juarez,32.43,23.4,27.0,49.6,9923,10200,2389,2756,5055
