,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Monterrey,58.52,49.3,27.6,23.1,388,221,109,61,51
2,Club Leon,54.0,45.7,24.9,29.4,358,221,101,55,65
3,U.A.N.L.- Tigres,51.13,42.1,27.1,30.8,339,221,93,60,68
4,Atlas,50.98,40.3,32.1,27.6,338,221,89,71,61
5,Pachuca,50.83,41.2,29.0,29.9,337,221,91,64,66
6,Club America,50.68,40.7,29.9,29.4,336,221,90,66,65
7,Cruz Azul,49.62,38.5,33.5,28.1,329,221,85,74,62
8,Guadalajara Chivas,46.61,37.6,27.1,35.3,309,221,83,60,78
9,Necaxa,46.61,37.1,28.5,34.4,309,221,82,63,76
10,Club Tijuana,46.0,37.1,26.7,36.2,305,221,82,59,80
11,Puebla,43.59,33.0,31.7,35.3,289,221,73,70,78
12,Toluca,42.99,32.6,31.2,36.2,285,221,72,69,80
13,Santos Laguna,42.99,34.4,25.8,39.8,285,221,76,57,88
14,Atl. San Luis,41.63,31.7,29.9,38.5,276,221,70,66,85
15,Mazatlan FC,35.75,26.2,28.5,45.2,237,221,58,63,100
16,Queretaro,35.29,25.3,29.9,44.8,234,221,56,66,99
17,U.N.A.M.- Pumas,33.63,23.1,31.7,45.2,223,221,51,70,100
18,Juarez,31.98,22.6,28.1,49.3,212,221,50,62,109
