Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,1,2,2,8,4,8,10,8,9,11,16,10,13,14,27,22,35,0,0
Necaxa,2,4,2,6,10,7,8,9,19,14,18,16,18,14,17,12,17,7,0,0
Juarez,1,1,1,2,3,5,2,4,7,7,7,10,16,14,22,27,35,36,0,0
Pachuca,18,14,10,14,25,19,12,19,13,12,10,9,8,5,8,0,4,0,0,0
Guadalajara Chivas,4,5,6,11,8,9,17,16,15,11,6,19,17,14,8,10,11,13,0,0
U.N.A.M.- Pumas,1,0,3,4,0,8,3,10,13,11,13,18,14,12,25,25,18,22,0,0
Monterrey,31,37,24,22,12,11,10,11,7,6,6,7,7,2,4,1,2,0,0,0
Club Tijuana,0,2,4,2,9,9,6,9,8,16,23,13,11,21,19,17,20,11,0,0
Cruz Azul,21,20,21,24,14,14,13,15,13,11,6,7,7,8,4,1,1,0,0,0
Mazatlan FC,2,0,1,0,1,6,3,3,6,11,12,18,9,26,11,27,24,40,0,0
Puebla,2,5,7,7,14,6,11,8,13,16,14,12,21,17,18,9,13,7,0,0
Club Leon,23,20,19,10,18,18,20,13,10,6,9,7,8,3,6,4,5,1,0,0
Club America,31,29,25,21,19,15,8,16,9,15,2,2,4,1,3,0,0,0,0,0
Atlas,31,19,23,27,19,14,18,8,6,7,7,4,6,5,4,1,1,0,0,0
Toluca,3,5,4,9,0,13,13,14,14,12,21,13,21,18,10,10,8,12,0,0
Santos Laguna,9,17,17,22,14,15,20,10,13,11,11,13,7,6,8,6,0,1,0,0
Atl. San Luis,0,4,4,4,8,10,10,14,12,16,15,9,11,16,15,20,17,15,0,0
U.A.N.L.- Tigres,21,17,27,13,18,17,18,11,14,9,9,7,5,5,4,3,2,0,0,0
