,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,29.41,19.1,30.9,50,60,68,13,21,34
2,Atlas,56.37,47.1,27.9,25,115,68,32,19,17
3,Club America,48.04,38.2,29.4,32.4,98,68,26,20,22
4,Club Leon,59.31,50,27.9,22.1,121,68,34,19,15
5,Club Tijuana,36.27,27.9,25,47.1,74,68,19,17,32
6,Cruz Azul,57.84,45.6,36.8,17.6,118,68,31,25,12
7,Guadalajara Chivas,38.73,29.4,27.9,42.6,79,68,20,19,29
8,Juarez,37.75,26.5,33.8,39.7,77,68,18,23,27
9,Mazatlan FC,36.76,27.9,26.5,45.6,75,68,19,18,31
10,Monterrey,59.8,51.5,25,23.5,122,68,35,17,16
11,Necaxa,42.16,33.8,25,41.2,86,68,23,17,28
12,Pachuca,47.55,35.3,36.8,27.9,97,68,24,25,19
13,Puebla,44.61,33.8,32.4,33.8,91,68,23,22,23
14,Queretaro,40.69,30.9,29.4,39.7,83,68,21,20,27
15,Santos Laguna,49.51,41.2,25,33.8,101,68,28,17,23
16,Toluca,42.16,32.4,29.4,38.2,86,68,22,20,26
17,U.A.N.L.- Tigres,47.55,35.3,36.8,27.9,97,68,24,25,19
18,U.N.A.M.- Pumas,35.29,23.5,35.3,41.2,72,68,16,24,28
