,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Pachuca,58.82,50.0,26.5,23.5,240,136,68,36,32
2,Club America,57.11,45.6,34.6,19.9,233,136,62,47,27
3,Cruz Azul,55.64,44.9,32.4,22.8,227,136,61,44,31
4,Monterrey,55.39,45.6,29.4,25.0,226,136,62,40,34
5,Atlas,54.17,44.1,30.1,25.7,221,136,60,41,35
6,Club Leon,53.92,45.6,25.0,29.4,220,136,62,34,40
7,Santos Laguna,49.26,39.7,28.7,31.6,201,136,54,39,43
8,U.A.N.L.- Tigres,46.32,36.0,30.9,33.1,189,136,49,42,45
9,Necaxa,45.59,37.5,24.3,38.2,186,136,51,33,52
10,Puebla,44.85,35.3,28.7,36.0,183,136,48,39,49
11,Guadalajara Chivas,41.42,30.1,33.8,36.0,169,136,41,46,49
12,Club Tijuana,41.42,34.6,20.6,44.9,169,136,47,28,61
13,Toluca,39.95,33.1,20.6,46.3,163,136,45,28,63
14,U.N.A.M.- Pumas,37.5,25.7,35.3,39.0,153,136,35,48,53
15,Mazatlan FC,37.25,29.4,23.5,47.1,152,136,40,32,64
16,Atl. San Luis,35.78,27.2,25.7,47.1,146,136,37,35,64
17,Queretaro,35.29,25.0,30.9,44.1,144,136,34,42,60
18,Juarez,26.47,19.1,22.1,58.8,108,136,26,30,80
