Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,0,0,0,1,1,2,1,3,2,0,1,2,7,7,4,2,7,0,0
Necaxa,0,0,1,0,1,2,1,5,5,2,1,3,3,4,1,2,5,4,0,0
Juarez,0,0,0,1,1,0,1,0,3,0,2,0,0,5,7,7,6,7,0,0
Pachuca,2,5,4,2,1,3,7,3,2,4,0,4,2,0,1,0,0,0,0,0
Guadalajara Chivas,1,2,4,3,1,3,3,2,1,2,1,2,6,2,1,3,1,2,0,0
U.N.A.M.- Pumas,0,1,0,1,1,0,1,2,2,1,1,0,2,3,3,7,11,4,0,0
Monterrey,6,8,4,5,2,2,4,2,2,1,1,2,0,0,1,0,0,0,0,0
Club Tijuana,0,1,1,1,0,1,1,1,2,4,5,6,3,4,6,1,1,2,0,0
Cruz Azul,2,4,2,5,8,2,3,2,2,4,3,1,2,0,0,0,0,0,0,0
Mazatlan FC,0,1,1,0,1,0,0,1,0,1,2,3,2,1,5,7,7,8,0,0
Puebla,1,0,0,3,2,1,3,4,4,1,4,4,2,4,2,0,3,2,0,0
Club Leon,2,4,5,3,3,8,1,3,4,1,3,0,3,0,0,0,0,0,0,0
Club America,9,4,3,3,5,5,4,2,3,0,0,1,0,0,0,1,0,0,0,0
Atlas,7,3,4,3,5,5,0,3,1,5,1,1,1,1,0,0,0,0,0,0
Toluca,1,3,1,1,1,0,2,4,0,1,6,4,3,5,3,2,2,1,0,0
Santos Laguna,2,3,2,3,3,5,5,0,4,2,3,1,1,1,2,2,1,0,0,0
Atl. San Luis,1,0,2,2,0,1,1,1,2,4,5,3,7,2,1,4,1,3,0,0
U.A.N.L.- Tigres,6,1,6,4,4,1,1,4,0,5,2,4,1,1,0,0,0,0,0,0
