,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Cruz Azul,60.5,50.4,30.3,19.3,216,119,60,36,23
2,Atlas,57.14,48.7,25.2,26.1,204,119,58,30,31
3,Monterrey,57.14,48.7,25.2,26.1,204,119,58,30,31
4,Club America,55.18,47.1,24.4,28.6,197,119,56,29,34
5,Club Leon,54.9,45.4,28.6,26.1,196,119,54,34,31
6,U.A.N.L.- Tigres,52.38,42.9,28.6,28.6,187,119,51,34,34
7,Pachuca,50.42,42.0,25.2,32.8,180,119,50,30,39
8,Santos Laguna,49.58,39.5,30.3,30.3,177,119,47,36,36
9,Necaxa,48.18,38.7,28.6,32.8,172,119,46,34,39
10,Guadalajara Chivas,45.38,33.6,35.3,31.1,162,119,40,42,37
11,Toluca,43.7,31.9,35.3,32.8,156,119,38,42,39
12,Club Tijuana,39.78,30.3,28.6,41.2,142,119,36,34,49
13,Puebla,39.22,26.9,37.0,36.1,140,119,32,44,43
14,Queretaro,38.38,27.7,31.9,40.3,137,119,33,38,48
15,U.N.A.M.- Pumas,34.17,25.2,26.9,47.9,122,119,30,32,57
16,Mazatlan FC,33.89,25.2,26.1,48.7,121,119,30,31,58
17,Atl. San Luis,28.57,18.5,30.3,51.3,102,119,22,36,61
18,Juarez,24.93,17.6,21.8,60.5,89,119,21,26,72
