,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,56.88,47.7,27.7,24.7,145039,85000,40503,23530,20967
2,Monterrey,56.35,47.3,27.1,25.6,143691,85000,40229,23004,21767
3,Atlas,54.46,44.7,29.2,26.1,138870,85000,38026,24792,22182
4,Cruz Azul,52.67,42.7,30.0,27.3,134320,85000,36274,25498,23228
5,Club Leon,52.63,43.8,26.5,29.7,134217,85000,37219,22560,25221
6,U.A.N.L.- Tigres,51.43,42.2,27.8,30.0,131134,85000,35835,23629,25536
7,Pachuca,50.99,41.6,28.2,30.2,130020,85000,35336,24012,25652
8,Santos Laguna,49.67,40.6,27.2,32.2,126651,85000,34502,23145,27353
9,Guadalajara Chivas,43.97,34.1,29.5,36.3,112130,85000,29013,25091,30896
10,Necaxa,43.18,33.9,27.7,38.3,110111,85000,28848,23567,32585
11,Toluca,42.31,33.5,26.6,40.0,107885,85000,28434,22583,33983
12,Puebla,41.84,32.4,28.5,39.2,106693,85000,27501,24190,33309
13,Club Tijuana,40.75,31.6,27.4,41.0,103924,85000,26884,23272,34844
14,Atl. San Luis,39.98,30.3,29.0,40.7,101948,85000,25768,24644,34588
15,U.N.A.M.- Pumas,36.53,27.5,27.1,45.4,93152,85000,23362,23066,38572
16,Queretaro,36.23,26.5,29.2,44.3,92389,85000,22537,24778,37685
17,Mazatlan FC,33.48,24.4,27.2,48.4,85369,85000,20752,23113,41135
18,Juarez,32.84,23.8,27.0,49.1,83736,85000,20256,22968,41776
