Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,0,0,0,0,1,1,2,3,5,3,2,5,7,9,10,8,14,0,0
Necaxa,2,1,1,4,2,3,3,6,2,5,8,9,4,6,3,5,3,3,0,0
Juarez,0,0,0,1,1,0,2,3,2,5,4,3,4,2,4,13,15,11,0,0
Pachuca,4,6,4,6,7,7,7,1,3,6,4,3,4,2,2,2,1,1,0,0
Guadalajara Chivas,2,3,2,2,5,6,3,2,3,8,4,5,7,9,4,2,3,0,0,0
U.N.A.M.- Pumas,1,1,1,1,1,0,2,3,3,2,4,5,6,7,7,8,7,11,0,0
Monterrey,16,10,8,7,4,5,8,2,5,1,0,1,1,1,1,0,0,0,0,0
Club Tijuana,0,0,0,2,4,3,2,5,4,5,8,6,7,5,7,4,4,4,0,0
Cruz Azul,5,5,9,6,6,6,4,10,3,2,3,1,4,2,2,0,1,1,0,0
Mazatlan FC,0,1,1,0,1,1,5,3,2,2,1,4,3,7,5,9,12,13,0,0
Puebla,0,3,1,3,3,2,4,2,5,9,6,6,5,5,9,5,1,1,0,0
Club Leon,5,10,7,11,5,4,3,5,9,2,2,0,3,1,2,0,1,0,0,0
Club America,19,8,10,8,6,3,5,4,2,1,1,1,1,1,0,0,0,0,0,0
Atlas,8,11,16,4,10,5,3,1,5,0,0,2,2,1,0,1,0,1,0,0
Toluca,0,2,1,4,0,5,5,2,6,8,6,8,4,6,2,4,4,3,0,0
Santos Laguna,4,2,2,4,4,10,7,8,2,2,5,6,2,2,4,2,2,2,0,0
Atl. San Luis,0,2,1,2,2,2,3,3,4,2,7,7,5,5,9,5,6,5,0,0
U.A.N.L.- Tigres,4,5,6,5,9,7,3,8,7,5,4,1,3,1,0,0,2,0,0,0
