,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,U.A.N.L.- Tigres,60.78,52.9,23.5,23.5,62,34,18,8,8
2,Club America,59.8,50.0,29.4,20.6,61,34,17,10,7
3,Monterrey,55.88,47.1,26.5,26.5,57,34,16,9,9
4,Cruz Azul,55.88,47.1,26.5,26.5,57,34,16,9,9
5,Pachuca,51.96,41.2,32.4,26.5,53,34,14,11,9
6,Atl. San Luis,49.02,44.1,14.7,41.2,50,34,15,5,14
7,Guadalajara Chivas,47.06,35.3,35.3,29.4,48,34,12,12,10
8,Club Leon,44.12,38.2,17.6,44.1,45,34,13,6,15
9,Santos Laguna,44.12,38.2,17.6,44.1,45,34,13,6,15
10,Queretaro,44.12,35.3,26.5,38.2,45,34,12,9,13
11,Puebla,43.14,38.2,14.7,47.1,44,34,13,5,16
12,Necaxa,41.18,32.4,26.5,41.2,42,34,11,9,14
13,Atlas,41.18,32.4,26.5,41.2,42,34,11,9,14
14,Club Tijuana,38.24,26.5,35.3,38.2,39,34,9,12,13
15,U.N.A.M.- Pumas,38.24,32.4,17.6,50.0,39,34,11,6,17
16,Juarez,37.25,23.5,41.2,35.3,38,34,8,14,12
17,Mazatlan FC,37.25,29.4,23.5,47.1,38,34,10,8,16
18,Toluca,35.29,29.4,17.6,52.9,36,34,10,6,18
