,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,38.77,28.1,32.1,39.8,435,374,105,120,149
2,Atlas,53.74,45.5,24.9,29.7,603,374,170,93,111
3,Club America,55.88,47.9,24.1,28.1,627,374,179,90,105
4,Club Leon,51.78,42.8,27,30.2,581,374,160,101,113
5,Club Tijuana,41.53,31.6,29.9,38.5,466,374,118,112,144
6,Cruz Azul,55.17,45.7,28.3,25.9,619,374,171,106,97
7,Guadalajara Chivas,44.92,35.8,27.3,36.9,504,374,134,102,138
8,Juarez,34.31,25.4,26.7,47.9,385,374,95,100,179
9,Mazatlan FC,38.77,29.1,28.9,42,435,374,109,108,157
10,Monterrey,56.24,46.3,29.9,23.8,631,374,173,112,89
11,Necaxa,42.78,33.7,27.3,39,480,374,126,102,146
12,Pachuca,50.98,40.9,30.2,28.9,572,374,153,113,108
13,Puebla,42.16,32.4,29.4,38.2,473,374,121,110,143
14,Queretaro,35.03,26.2,26.5,47.3,393,374,98,99,177
15,Santos Laguna,48.31,38.8,28.6,32.6,542,374,145,107,122
16,Toluca,43.05,35.3,23.3,41.4,483,374,132,87,155
17,U.A.N.L.- Tigres,49.55,42.2,21.9,35.8,556,374,158,82,134
18,U.N.A.M.- Pumas,34.76,25.7,27.3,47.1,390,374,96,102,176
