,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,43.63,32.4,33.8,33.8,267,204,66,69,69
2,Atlas,48.69,38.2,31.4,30.4,298,204,78,64,62
3,Club America,54.9,44.6,30.9,24.5,336,204,91,63,50
4,Club Leon,52.29,43.1,27.5,29.4,320,204,88,56,60
5,Club Tijuana,38.89,30.4,25.5,44.1,238,204,62,52,90
6,Cruz Azul,53.92,43.1,32.4,24.5,330,204,88,66,50
7,Guadalajara Chivas,47.22,37.7,28.4,33.8,289,204,77,58,69
8,Juarez,31.7,22.1,28.9,49,194,204,45,59,100
9,Mazatlan FC,34.48,24.5,29.9,45.6,211,204,50,61,93
10,Monterrey,52.12,40.7,34.3,25,319,204,83,70,51
11,Necaxa,42.32,32.8,28.4,38.7,259,204,67,58,79
12,Pachuca,54.9,45.1,29.4,25.5,336,204,92,60,52
13,Puebla,39.05,27,36.3,36.8,239,204,55,74,75
14,Queretaro,33.82,23,32.4,44.6,207,204,47,66,91
15,Santos Laguna,51.14,40.2,32.8,27,313,204,82,67,55
16,Toluca,40.85,31.9,27,41.2,250,204,65,55,84
17,U.A.N.L.- Tigres,50.49,41.2,27.9,30.9,309,204,84,57,63
18,U.N.A.M.- Pumas,39.05,30.4,26,43.6,239,204,62,53,89
