,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,57.1,47.7,28.1,24.2,20384,11900,5679,3347,2874
2,Monterrey,56.17,47.1,27.2,25.7,20053,11900,5606,3235,3059
3,Atlas,54.73,45.1,29.0,25.9,19539,11900,5361,3456,3083
4,Cruz Azul,53.17,43.3,29.5,27.2,18980,11900,5158,3506,3236
5,Club Leon,52.79,44.2,25.7,30.1,18845,11900,5263,3056,3581
6,Pachuca,51.22,41.9,27.9,30.2,18285,11900,4987,3324,3589
7,U.A.N.L.- Tigres,51.02,41.7,27.8,30.4,18214,11900,4968,3310,3622
8,Santos Laguna,49.65,40.4,27.8,31.8,17726,11900,4806,3308,3786
9,Guadalajara Chivas,44.42,34.5,29.9,35.7,15859,11900,4101,3556,4243
10,Necaxa,43.12,34.0,27.5,38.5,15395,11900,4041,3272,4587
11,Puebla,42.13,32.6,28.7,38.7,15040,11900,3874,3418,4608
12,Toluca,41.88,33.0,26.6,40.4,14952,11900,3929,3165,4806
13,Club Tijuana,40.83,31.8,27.1,41.1,14578,11900,3783,3229,4888
14,Atl. San Luis,39.43,30.0,28.4,41.6,14076,11900,3565,3381,4954
15,U.N.A.M.- Pumas,36.46,27.3,27.5,45.2,13018,11900,3249,3271,5380
16,Queretaro,36.07,26.2,29.5,44.3,12876,11900,3123,3507,5270
17,Mazatlan FC,33.48,24.6,26.7,48.7,11952,11900,2926,3174,5800
18,Juarez,32.62,23.5,27.3,49.2,11647,11900,2800,3247,5853
