,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,56.62,47.4,27.8,24.9,2310,1360,644,378,338
2,Monterrey,55.98,46.9,27.2,25.9,2284,1360,638,370,352
3,Atlas,54.9,45.0,29.7,25.3,2240,1360,612,404,344
4,Cruz Azul,53.5,43.7,29.5,26.8,2183,1360,594,401,365
5,Club Leon,53.36,44.5,26.6,28.9,2177,1360,605,362,393
6,Pachuca,50.37,41.2,27.4,31.4,2055,1360,561,372,427
7,U.A.N.L.- Tigres,50.02,40.6,28.3,31.1,2041,1360,552,385,423
8,Santos Laguna,49.95,40.7,27.9,31.5,2038,1360,553,379,428
9,Guadalajara Chivas,44.75,34.3,31.2,34.4,1826,1360,467,425,468
10,Necaxa,42.75,33.4,28.1,38.5,1744,1360,454,382,524
11,Puebla,42.52,33.2,27.9,38.9,1735,1360,452,379,529
12,Toluca,42.21,33.6,25.8,40.6,1722,1360,457,351,552
13,Atl. San Luis,40.29,30.5,29.3,40.1,1644,1360,415,399,546
14,Club Tijuana,40.27,31.4,26.6,42.0,1643,1360,427,362,571
15,Mazatlan FC,35.96,26.5,28.2,45.2,1467,1360,361,384,615
16,Queretaro,35.64,26.3,27.9,45.7,1454,1360,358,380,622
17,U.N.A.M.- Pumas,34.26,25.2,27.1,47.6,1398,1360,343,369,648
18,Juarez,32.6,23.4,27.6,49.0,1330,1360,318,376,666
