,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Monterrey,56.57,47.9,25.9,26.2,1154,680,326,176,178
2,Club America,56.57,47.2,28.1,24.7,1154,680,321,191,168
3,Atlas,55.1,45.1,29.9,25.0,1124,680,307,203,170
4,Club Leon,53.43,43.7,29.3,27.1,1090,680,297,199,184
5,Cruz Azul,51.76,41.2,31.8,27.1,1056,680,280,216,184
6,U.A.N.L.- Tigres,51.62,41.6,30.0,28.4,1053,680,283,204,193
7,Pachuca,51.23,41.8,28.4,29.9,1045,680,284,193,203
8,Santos Laguna,49.36,39.4,29.9,30.7,1007,680,268,203,209
9,Guadalajara Chivas,45.2,35.0,30.6,34.4,922,680,238,208,234
10,Puebla,42.4,32.1,31.0,36.9,865,680,218,211,251
11,Toluca,42.21,32.9,27.8,39.3,861,680,224,189,267
12,Atl. San Luis,40.83,31.9,26.8,41.3,833,680,217,182,281
13,Club Tijuana,40.1,30.0,30.3,39.7,818,680,204,206,270
14,Necaxa,39.36,29.1,30.7,40.1,803,680,198,209,273
15,Queretaro,35.05,23.8,33.7,42.5,715,680,162,229,289
16,U.N.A.M.- Pumas,34.85,25.3,28.7,46.0,711,680,172,195,313
17,Mazatlan FC,34.02,25.1,26.6,48.2,694,680,171,181,328
18,Juarez,32.6,23.5,27.2,49.3,665,680,160,185,335
