,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Monterrey,57.35,48.3,27.1,24.6,1755,1020,493,276,251
2,Club America,55.23,45.6,28.9,25.5,1690,1020,465,295,260
3,Club Leon,54.87,45.4,28.4,26.2,1679,1020,463,290,267
4,Atlas,52.97,42.2,32.5,25.4,1621,1020,430,331,259
5,U.A.N.L.- Tigres,51.5,41.5,30.1,28.4,1576,1020,423,307,290
6,Cruz Azul,51.44,41.0,31.4,27.6,1574,1020,418,320,282
7,Santos Laguna,50.36,40.8,28.7,30.5,1541,1020,416,293,311
8,Pachuca,48.43,37.8,31.8,30.4,1482,1020,386,324,310
9,Guadalajara Chivas,43.17,33.2,29.8,37.0,1321,1020,339,304,377
10,Toluca,42.94,34.1,26.5,39.4,1314,1020,348,270,402
11,Necaxa,41.76,33.4,25.0,41.6,1278,1020,341,255,424
12,Puebla,41.01,31.3,29.2,39.5,1255,1020,319,298,403
13,Club Tijuana,40.59,31.1,28.5,40.4,1242,1020,317,291,412
14,Atl. San Luis,40.0,30.2,29.4,40.4,1224,1020,308,300,412
15,Queretaro,36.83,27.6,27.5,44.8,1127,1020,282,281,457
16,U.N.A.M.- Pumas,36.6,26.7,29.8,43.5,1120,1020,272,304,444
17,Mazatlan FC,34.74,25.0,29.2,45.8,1063,1020,255,298,467
18,Juarez,33.59,25.0,25.8,49.2,1028,1020,255,263,502
