,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,35.06,24.9,30.4,44.6,304,289,72,88,129
2,Atlas,56.98,47.1,29.8,23.2,494,289,136,86,67
3,Club America,57.79,48.8,27,24.2,501,289,141,78,70
4,Club Leon,53.52,45,25.6,29.4,464,289,130,74,85
5,Club Tijuana,39.33,30.8,25.6,43.6,341,289,89,74,126
6,Cruz Azul,48.67,38.4,30.8,30.8,422,289,111,89,89
7,Guadalajara Chivas,44.87,34.9,29.8,35.3,389,289,101,86,102
8,Juarez,35.99,26.6,28,45.3,312,289,77,81,131
9,Mazatlan FC,34.72,25.6,27.3,47.1,301,289,74,79,136
10,Monterrey,58.82,50.5,24.9,24.6,510,289,146,72,71
11,Necaxa,44.75,37.4,22.1,40.5,388,289,108,64,117
12,Pachuca,51.33,42.9,25.3,31.8,445,289,124,73,92
13,Puebla,40.48,31.8,26,42.2,351,289,92,75,122
14,Queretaro,36.22,27.7,25.6,46.7,314,289,80,74,135
15,Santos Laguna,46.83,38.1,26.3,35.6,406,289,110,76,103
16,Toluca,41.18,33.2,23.9,42.9,357,289,96,69,124
17,U.A.N.L.- Tigres,53.63,45.3,24.9,29.8,465,289,131,72,86
18,U.N.A.M.- Pumas,40.14,31.8,24.9,43.3,348,289,92,72,125
