,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,59.41,51.8,22.9,25.3,303,170,88,39,43
2,Cruz Azul,58.24,48.2,30.0,21.8,297,170,82,51,37
3,Monterrey,55.88,45.9,30.0,24.1,285,170,78,51,41
4,Club Leon,52.75,42.9,29.4,27.6,269,170,73,50,47
5,U.A.N.L.- Tigres,51.96,42.9,27.1,30.0,265,170,73,46,51
6,Pachuca,51.76,41.2,31.8,27.1,264,170,70,54,46
7,Santos Laguna,51.37,41.8,28.8,29.4,262,170,71,49,50
8,Atlas,49.61,38.2,34.1,27.6,253,170,65,58,47
9,Guadalajara Chivas,44.31,34.7,28.8,36.5,226,170,59,49,62
10,Club Tijuana,42.55,35.9,20.0,44.1,217,170,61,34,75
11,Atl. San Luis,42.35,33.5,26.5,40.0,216,170,57,45,68
12,Toluca,42.16,33.5,25.9,40.6,215,170,57,44,69
13,Puebla,39.61,30.6,27.1,42.4,202,170,52,46,72
14,Necaxa,38.24,29.4,26.5,44.1,195,170,50,45,75
15,U.N.A.M.- Pumas,38.04,30.0,24.1,45.9,194,170,51,41,78
16,Queretaro,34.51,25.9,25.9,48.2,176,170,44,44,82
17,Juarez,34.12,27.6,19.4,52.9,174,170,47,33,90
18,Mazatlan FC,32.35,23.5,26.5,50.0,165,170,40,45,85
