,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,67.97,58.8,27.5,13.7,104,51,30,14,7
2,Club Leon,62.09,51.0,33.3,15.7,95,51,26,17,8
3,Atlas,60.13,51.0,27.5,21.6,92,51,26,14,11
4,Santos Laguna,52.29,41.2,33.3,25.5,80,51,21,17,13
5,Cruz Azul,48.37,37.3,33.3,29.4,74,51,19,17,15
6,Guadalajara Chivas,48.37,37.3,33.3,29.4,74,51,19,17,15
7,U.A.N.L.- Tigres,47.71,39.2,25.5,35.3,73,51,20,13,18
8,Queretaro,47.06,37.3,29.4,33.3,72,51,19,15,17
9,Puebla,46.41,37.3,27.5,35.3,71,51,19,14,18
10,Necaxa,44.44,33.3,33.3,33.3,68,51,17,17,17
11,Atl. San Luis,44.44,31.4,39.2,29.4,68,51,16,20,15
12,Monterrey,43.14,33.3,29.4,37.3,66,51,17,15,19
13,Pachuca,39.22,31.4,23.5,45.1,60,51,16,12,23
14,Toluca,39.22,33.3,17.6,49.0,60,51,17,9,25
15,Club Tijuana,34.64,25.5,27.5,47.1,53,51,13,14,24
16,Mazatlan FC,34.64,27.5,21.6,51.0,53,51,14,11,26
17,U.N.A.M.- Pumas,29.41,21.6,23.5,54.9,45,51,11,12,28
18,Juarez,26.8,21.6,15.7,62.7,41,51,11,8,32
