Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,0,0,0,1,0,0,0,0,1,0,4,1,3,4,4,6,6,0,0
Necaxa,0,1,1,0,2,1,5,1,4,1,1,1,4,1,3,2,2,0,0,0
Juarez,0,0,1,1,0,0,1,2,1,0,3,1,0,3,3,4,3,7,0,0
Pachuca,2,2,4,5,1,4,3,0,2,2,2,1,0,0,1,1,0,0,0,0
Guadalajara Chivas,0,1,3,2,2,2,2,4,0,5,0,0,2,2,1,1,3,0,0,0
U.N.A.M.- Pumas,0,0,1,0,1,0,1,4,1,2,0,2,2,2,5,3,4,2,0,0
Monterrey,9,1,1,2,2,5,2,2,1,3,1,0,0,1,0,0,0,0,0,0
Club Tijuana,0,1,1,2,2,0,0,1,3,2,2,3,3,3,4,1,0,2,0,0
Cruz Azul,2,2,3,1,5,4,2,1,3,1,2,1,0,3,0,0,0,0,0,0
Mazatlan FC,0,0,1,0,0,1,0,0,0,2,0,3,1,3,2,9,3,5,0,0
Puebla,0,3,0,0,1,1,1,2,2,0,2,3,5,2,2,1,4,1,0,0
Club Leon,4,4,4,4,2,3,3,1,1,1,1,0,0,0,1,1,0,0,0,0
Club America,7,2,2,2,3,2,1,3,1,3,1,2,1,0,0,0,0,0,0,0
Atlas,1,8,4,3,4,0,1,1,2,1,1,0,4,0,0,0,0,0,0,0
Toluca,1,0,0,1,1,3,2,1,1,0,2,3,5,2,1,2,3,2,0,0
Santos Laguna,1,2,2,1,2,1,4,5,3,3,1,3,0,1,0,0,0,1,0,0
Atl. San Luis,1,0,0,0,0,0,2,1,3,1,6,1,1,4,3,1,2,4,0,0
U.A.N.L.- Tigres,2,3,2,6,1,3,0,1,2,2,5,2,1,0,0,0,0,0,0,0
