Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,1,2,4,6,6,4,14,13,22,20,20,31,27,24,25,37,44,0,0
Necaxa,7,4,10,7,9,16,23,15,27,24,28,17,30,19,23,13,13,15,0,0
Juarez,0,1,3,3,2,1,5,8,10,10,16,20,22,21,35,40,44,59,0,0
Pachuca,32,28,29,16,29,16,13,23,15,16,22,15,20,13,8,2,1,2,0,0
Guadalajara Chivas,8,11,6,20,15,19,24,8,24,11,24,22,27,15,24,18,21,3,0,0
U.N.A.M.- Pumas,0,1,2,1,8,9,7,15,14,13,25,17,18,36,29,38,33,34,0,0
Monterrey,45,43,38,35,21,31,18,9,16,11,10,8,2,4,5,3,1,0,0,0
Club Tijuana,2,3,8,9,14,15,10,14,18,24,21,23,24,24,18,32,27,14,0,0
Cruz Azul,33,28,28,24,23,26,22,24,17,21,17,5,9,8,7,3,2,3,0,0
Mazatlan FC,0,1,2,5,1,1,5,6,10,11,10,15,18,30,28,35,37,85,0,0
Puebla,3,4,6,12,16,16,17,22,19,20,18,26,23,29,25,18,22,4,0,0
Club Leon,27,27,29,38,26,21,22,22,19,15,12,11,5,9,8,6,3,0,0,0
Club America,48,38,41,22,30,32,14,23,6,14,10,5,6,2,5,2,0,2,0,0
Atlas,42,43,27,30,22,18,30,22,17,9,12,10,9,4,2,3,0,0,0,0
Toluca,8,7,6,13,12,11,19,19,23,24,18,34,19,15,22,21,17,12,0,0
Santos Laguna,19,23,28,29,25,19,24,17,22,21,10,16,10,16,7,8,4,2,0,0
Atl. San Luis,3,3,11,11,11,20,16,15,14,21,14,21,16,18,24,28,35,19,0,0
U.A.N.L.- Tigres,23,34,24,21,30,23,27,24,16,13,13,15,11,10,6,5,3,2,0,0
