,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Monterrey,60.46,52.0,25.5,22.5,185,102,53,26,23
2,Club America,59.8,50.0,29.4,20.6,183,102,51,30,21
3,U.A.N.L.- Tigres,59.48,49.0,31.4,19.6,182,102,50,32,20
4,Atlas,52.94,43.1,29.4,27.5,162,102,44,30,28
5,Pachuca,51.31,42.2,27.5,30.4,157,102,43,28,31
6,Cruz Azul,50.0,41.2,26.5,32.4,153,102,42,27,33
7,Guadalajara Chivas,48.69,39.2,28.4,32.4,149,102,40,29,33
8,Club Leon,48.37,41.2,21.6,37.3,148,102,42,22,38
9,Puebla,48.04,38.2,29.4,32.4,147,102,39,30,33
10,Santos Laguna,44.44,33.3,33.3,33.3,136,102,34,34,34
11,Necaxa,43.46,32.4,33.3,34.3,133,102,33,34,35
12,Toluca,43.14,36.3,20.6,43.1,132,102,37,21,44
13,Atl. San Luis,41.5,30.4,33.3,36.3,127,102,31,34,37
14,Club Tijuana,38.56,31.4,21.6,47.1,118,102,32,22,48
15,Queretaro,33.66,23.5,30.4,46.1,103,102,24,31,47
16,U.N.A.M.- Pumas,33.01,25.5,22.5,52.0,101,102,26,23,53
17,Mazatlan FC,32.35,23.5,26.5,50.0,99,102,24,27,51
18,Juarez,28.43,20.6,23.5,55.9,87,102,21,24,57
