Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,1,1,0,0,0,1,1,4,2,4,7,3,5,5,10,5,5,6,0,0
Necaxa,0,2,2,0,1,7,4,2,4,5,4,5,5,4,4,5,1,5,0,0
Juarez,1,1,0,0,1,0,2,2,4,1,0,1,1,5,8,10,11,12,0,0
Pachuca,1,3,8,7,5,4,5,5,3,1,1,4,4,2,1,2,3,1,0,0
Guadalajara Chivas,1,1,5,3,2,2,4,2,1,9,7,5,1,1,7,3,2,4,0,0
U.N.A.M.- Pumas,0,0,1,2,0,2,1,6,4,4,1,1,3,7,6,6,7,9,0,0
Monterrey,9,11,8,8,6,2,4,2,2,2,4,2,0,0,0,0,0,0,0,0
Club Tijuana,2,0,0,3,3,2,1,2,6,5,5,5,4,5,3,5,5,4,0,0
Cruz Azul,6,4,3,6,8,3,5,2,5,4,5,4,1,1,1,2,0,0,0,0
Mazatlan FC,0,0,0,1,0,3,2,2,2,4,4,1,4,4,4,11,9,9,0,0
Puebla,1,2,0,2,4,1,3,5,1,3,5,8,3,3,5,3,8,3,0,0
Club Leon,9,10,3,5,6,6,4,3,4,3,2,2,1,2,0,0,0,0,0,0
Club America,10,7,8,4,9,4,4,2,3,3,2,2,0,1,0,1,0,0,0,0
Atlas,8,7,4,4,7,3,7,3,3,4,3,3,1,1,0,2,0,0,0,0
Toluca,1,1,3,1,3,3,1,3,4,2,7,4,10,6,5,0,4,2,0,0
Santos Laguna,6,4,4,7,3,6,3,4,2,4,0,3,6,6,2,0,0,0,0,0
Atl. San Luis,0,1,3,1,0,2,3,6,5,0,2,5,8,6,3,5,5,5,0,0
U.A.N.L.- Tigres,4,5,8,6,2,9,6,5,5,2,1,2,3,1,1,0,0,0,0,0
