Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,3,4,3,4,7,7,14,10,32,23,26,29,24,37,43,39,51,44,0,0
Necaxa,10,7,17,15,12,20,26,32,26,29,29,30,31,31,26,26,18,15,0,0
Juarez,0,1,1,3,1,3,4,9,9,15,22,23,31,32,38,52,69,87,0,0
Pachuca,28,32,42,40,32,29,28,36,26,24,18,15,8,18,10,9,3,2,0,0
Guadalajara Chivas,8,13,17,19,24,18,18,29,26,28,33,37,25,27,17,24,23,14,0,0
U.N.A.M.- Pumas,1,5,2,4,6,9,12,12,14,23,31,18,27,41,49,47,52,47,0,0
Monterrey,78,64,38,45,34,25,22,23,18,19,8,9,8,5,1,2,1,0,0,0
Club Tijuana,1,11,4,12,18,12,22,20,20,30,32,33,42,36,23,29,30,25,0,0
Cruz Azul,41,40,28,38,27,38,32,25,22,26,20,18,10,11,7,11,5,1,0,0
Mazatlan FC,0,2,0,4,1,5,7,6,16,14,12,21,33,31,43,42,60,103,0,0
Puebla,7,10,19,12,20,13,24,31,27,23,23,34,38,27,28,32,12,20,0,0
Club Leon,40,35,38,35,36,47,21,23,19,23,15,17,16,8,16,6,2,3,0,0
Club America,67,50,41,37,38,40,28,29,16,15,11,9,7,8,2,1,0,1,0,0
Atlas,51,40,44,48,35,28,31,21,27,16,13,12,9,10,6,3,5,1,0,0
Toluca,4,11,14,16,21,14,18,21,32,31,33,37,30,27,26,33,25,7,0,0
Santos Laguna,24,25,40,23,35,41,36,31,26,9,27,17,23,14,14,7,6,2,0,0
Atl. San Luis,0,5,12,9,12,18,30,14,18,30,32,32,29,30,43,31,30,25,0,0
U.A.N.L.- Tigres,37,45,40,36,41,33,27,28,26,22,15,9,9,7,8,6,8,3,0,0
