,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club America,64.71,57.6,21.2,21.2,165,85,49,18,18
2,Monterrey,56.47,48.2,24.7,27.1,144,85,41,21,23
3,Atlas,53.33,43.5,29.4,27.1,136,85,37,25,23
4,U.A.N.L.- Tigres,52.94,44.7,24.7,30.6,135,85,38,21,26
5,Club Tijuana,51.76,43.5,24.7,31.8,132,85,37,21,27
6,Santos Laguna,49.8,41.2,25.9,32.9,127,85,35,22,28
7,Club Leon,48.63,41.2,22.4,36.5,124,85,35,19,31
8,Toluca,48.63,40.0,25.9,34.1,124,85,34,22,29
9,Pachuca,47.84,40.0,23.5,36.5,122,85,34,20,31
10,Cruz Azul,47.06,37.6,28.2,34.1,120,85,32,24,29
11,U.N.A.M.- Pumas,40.78,29.4,34.1,36.5,104,85,25,29,31
12,Puebla,40.78,31.8,27.1,41.2,104,85,27,23,35
13,Atl. San Luis,38.82,27.1,35.3,37.6,99,85,23,30,32
14,Guadalajara Chivas,38.82,29.4,28.2,42.4,99,85,25,24,36
15,Necaxa,38.82,30.6,24.7,44.7,99,85,26,21,38
16,Juarez,36.86,27.1,29.4,43.5,94,85,23,25,37
17,Queretaro,36.47,28.2,24.7,47.1,93,85,24,21,40
18,Mazatlan FC,27.06,17.6,28.2,54.1,69,85,15,24,46
