,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,37.18,28,27.5,44.5,474,425,119,117,189
2,Atlas,54.9,44.9,29.9,25.2,700,425,191,127,107
3,Club America,55.69,47.3,25.2,27.5,710,425,201,107,117
4,Club Leon,53.8,46.4,22.4,31.3,686,425,197,95,133
5,Club Tijuana,40.78,31.3,28.5,40.2,520,425,133,121,171
6,Cruz Azul,48.63,37.4,33.6,28.9,620,425,159,143,123
7,Guadalajara Chivas,44.94,35.1,29.6,35.3,573,425,149,126,150
8,Juarez,33.96,25.9,24.2,49.9,433,425,110,103,212
9,Mazatlan FC,34.35,25.6,26.1,48.2,438,425,109,111,205
10,Monterrey,57.41,48.7,26.1,25.2,732,425,207,111,107
11,Necaxa,42.67,34.8,23.5,41.6,544,425,148,100,177
12,Pachuca,49.65,40.2,28.2,31.5,633,425,171,120,134
13,Puebla,42.51,31.5,32.9,35.5,542,425,134,140,151
14,Queretaro,36.71,28,26.1,45.9,468,425,119,111,195
15,Santos Laguna,51.14,42.6,25.6,31.8,652,425,181,109,135
16,Toluca,46.2,36.2,29.9,33.9,589,425,154,127,144
17,U.A.N.L.- Tigres,53.25,44.5,26.4,29.2,679,425,189,112,124
18,U.N.A.M.- Pumas,33.8,24.2,28.7,47.1,431,425,103,122,200
