Category: Sports

Week,Javier Hernández: (Mexico),Andrés Guardado: (Mexico),Raúl Jiménez: (Mexico),Héctor Herrera: (Mexico),Guillermo Ochoa: (Mexico)
2020-11-15,2,<1,5,1,5
2020-11-22,2,1,2,1,3
2020-11-29,2,1,28,1,6
2020-12-06,2,<1,4,1,6
2020-12-13,2,<1,2,1,3
2020-12-20,2,<1,2,2,4
2020-12-27,3,1,2,1,3
2021-01-03,2,1,2,1,2
2021-01-10,3,1,1,1,2
2021-01-17,2,1,2,1,3
2021-01-24,2,<1,1,1,2
2021-01-31,2,<1,2,1,2
2021-02-07,3,1,1,1,2
2021-02-14,3,1,1,1,2
2021-02-21,3,<1,1,2,2
2021-02-28,2,<1,2,1,2
2021-03-07,2,1,1,2,2
2021-03-14,2,1,2,1,4
2021-03-21,2,1,2,2,3
2021-03-28,4,1,2,1,4
2021-04-04,3,<1,1,<1,3
2021-04-11,2,1,1,1,3
2021-04-18,5,1,1,1,4
2021-04-25,8,1,1,1,2
2021-05-02,4,<1,2,<1,2
2021-05-09,5,1,2,1,2
2021-05-16,4,1,2,3,4
2021-05-23,4,1,2,3,3
2021-05-30,4,7,2,3,8
2021-06-06,5,5,2,3,6
2021-06-13,6,1,2,1,4
2021-06-20,5,1,1,1,3
2021-06-27,7,2,1,1,3
2021-07-04,7,1,2,2,2
2021-07-11,5,2,4,3,5
2021-07-18,5,2,3,3,9
2021-07-25,5,1,3,4,11
2021-08-01,5,3,2,4,22
2021-08-08,6,1,2,2,6
2021-08-15,7,1,2,1,3
2021-08-22,5,1,2,1,3
2021-08-29,4,1,2,2,3
2021-09-05,4,2,1,<1,3
2021-09-12,3,1,1,1,3
2021-09-19,3,1,1,1,2
2021-09-26,2,1,4,1,3
2021-10-03,2,2,4,1,3
2021-10-10,4,1,4,1,4
2021-10-17,2,<1,1,<1,2
2021-10-24,4,1,1,2,3
2021-10-31,3,<1,3,1,4
2021-11-07,3,1,1,1,4
2021-11-14,4,1,2,1,7
2021-11-21,2,<1,2,1,3
2021-11-28,2,1,1,<1,6
2021-12-05,2,1,2,1,3
2021-12-12,1,2,1,<1,3
2021-12-19,3,1,1,1,3
2021-12-26,3,<1,1,1,2
2022-01-02,2,1,3,<1,3
2022-01-09,2,2,2,1,2
2022-01-16,2,3,2,1,2
2022-01-23,5,2,1,1,2
2022-01-30,6,3,4,2,4
2022-02-06,3,1,1,1,3
2022-02-13,4,1,2,1,4
2022-02-20,3,1,1,3,4
2022-02-27,3,1,1,3,3
2022-03-06,3,1,1,2,3
2022-03-13,3,<1,2,3,6
2022-03-20,3,1,1,2,6
2022-03-27,6,1,3,2,7
2022-04-03,8,<1,2,3,3
2022-04-10,7,1,1,3,4
2022-04-17,4,1,2,1,2
2022-04-24,3,2,1,1,3
2022-05-01,10,1,1,1,4
2022-05-08,3,1,2,<1,3
2022-05-15,4,1,1,3,4
2022-05-22,5,1,2,1,6
2022-05-29,4,2,1,1,2
2022-06-05,5,2,1,1,5
2022-06-12,5,1,1,1,6
2022-06-19,0,0,0,0,0
