Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,1811,186,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augsburg,0,0,59,110,135,219,195,188,184,191,171,147,119,105,70,59,37,11,0,0
Braunschweig,0,0,1,2,0,3,7,10,10,28,25,31,68,118,172,221,405,899,0,0
Hannover,0,0,9,24,38,60,83,84,108,148,165,147,212,201,259,200,157,105,0,0
Hertha,0,1,36,94,150,163,173,204,190,151,172,172,134,136,86,69,43,26,0,0
Hoffenheim,0,4,39,87,132,161,185,195,186,179,189,143,136,126,94,61,52,31,0,0
Leverkusen,7,125,960,390,190,135,74,56,33,10,9,6,0,3,1,1,0,0,0,0
Mainz,0,1,26,66,94,132,147,168,200,204,175,191,151,136,107,95,79,28,0,0
Schalke 04,0,26,338,442,337,235,193,129,111,64,43,36,20,15,7,2,2,0,0,0
Ein Frankfurt,0,0,14,60,107,121,132,170,161,207,170,194,171,142,131,106,78,36,0,0
Freiburg,0,0,0,3,9,13,22,45,45,64,94,98,162,204,232,351,349,309,0,0
Hamburg,0,0,11,29,59,81,117,124,160,161,182,199,184,187,182,147,115,62,0,0
M'gladbach,0,9,145,248,290,240,208,178,143,127,105,94,75,53,47,23,12,3,0,0
Stuttgart,0,1,24,79,125,149,150,188,166,180,187,187,166,117,114,91,50,26,0,0
Werder Bremen,0,0,0,5,13,13,34,58,74,92,107,159,173,208,238,285,313,228,0,0
Wolfsburg,0,11,185,336,303,249,239,148,140,95,91,57,61,33,29,13,7,3,0,0
Dortmund,182,1636,150,21,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nurnberg,0,0,0,4,11,24,40,54,89,99,115,139,168,216,231,276,301,233,0,0
