Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,461,1298,181,38,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
West Ham,0,0,0,0,3,10,27,64,95,147,164,187,196,200,173,177,171,145,137,104
Bournemouth,0,0,0,0,0,6,11,20,36,67,103,153,168,176,202,203,206,216,237,196
Burnley,0,0,0,1,1,5,14,31,67,91,121,169,193,195,202,208,206,189,168,139
Crystal Palace,0,0,0,1,1,3,20,20,42,95,125,148,161,173,197,243,202,195,227,147
Watford,0,0,0,2,4,17,38,64,114,180,211,203,188,203,206,160,146,128,77,59
Tottenham,1,27,267,379,393,354,252,171,75,40,20,14,4,1,1,0,0,1,0,0
Leicester,0,17,150,253,328,392,358,217,134,72,33,22,10,2,5,3,2,2,0,0
Newcastle,0,0,0,0,0,0,1,8,23,34,57,64,102,130,170,192,243,306,318,352
Man United,4,43,397,480,407,288,179,109,50,18,13,1,7,2,2,0,0,0,0,0
Arsenal,1,11,114,238,333,340,365,262,143,81,55,28,16,6,4,1,0,0,2,0
Aston Villa,0,0,0,0,1,3,2,20,43,58,85,107,146,145,183,211,239,241,263,253
Brighton,0,0,0,3,11,22,33,89,146,190,204,214,199,193,173,154,139,118,67,45
Everton,0,0,10,47,93,167,236,324,342,245,174,131,79,58,37,24,16,11,2,4
Norwich,0,0,0,0,0,0,2,2,7,21,35,54,63,96,108,127,212,289,368,616
Southampton,0,0,0,6,27,37,60,101,210,232,248,204,191,167,134,134,90,74,49,36
Man City,1517,444,35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield United,0,0,1,5,6,30,46,89,144,216,203,202,209,194,177,150,117,78,84,49
Chelsea,16,158,825,480,254,130,76,39,17,2,1,2,0,0,0,0,0,0,0,0
Wolves,0,2,20,64,119,194,279,369,312,211,148,97,68,59,26,13,11,7,1,0
