,team,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF,xGoalsF,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF,xShotsF,ShotsA,xShotsA,ShotsTF,xShotsTF,ShotsTA,xShotsTA,Fouls,xFouls,FoulsA,xFoulsA,YCard,xYCard,YCardA,xYCardA,RCard,xRCard,RCardA,xRCardA
0,Bolivia,15,10.28669536218348,4,3,7,2.513486509873383,2.7462358325633316,8.740277657563286,-8,-17.22679103992288,19,12.762910185696763,27,29.989701225619644,8,5.622121362104551,15,13.139079101835279,165,130.51335150675123,231,209.6803792122451,49,51.81727955853423,85,91.72603615939855,169,182.9262837788662,156,168.33461695775907,35,26.45157414539845,21,21.299542549495982,4,1.6065626625014053,0,1.1342951342246939
1,Perú,17,15.042293792379969,5,2,7,3.872048681502847,3.4261477478714264,6.701803570625726,-5,-6.340634912235238,15,16.033583418157527,20,22.374218330392765,8,7.107611401834192,10,9.893844863907745,146,147.30573643942114,163,180.08878646787565,56,60.76903043031896,58,77.37774089678896,221,183.26509271096808,205,177.00182128598954,32,25.48022254791845,30,23.16523576862885,3,1.532299385391871,3,1.2779474171723622
2,Paraguay,13,15.529095348929408,2,7,5,3.95845511887116,3.6537299923159288,6.387814888812912,-9,-5.271816475514935,9,16.34371675020161,18,21.615533225716547,4,7.274211112267835,5,9.518766621435898,124,150.3759926736339,186,174.54885387586853,41,62.639392856852055,54,75.44854875034868,198,185.35591627036476,168,179.29351611181102,33,25.55269444622921,33,23.020450722791914,2,1.538839965304338,2,1.3031599673344467
3,Brasil,35,28.379044018866818,11,2,0,8.545809554291054,2.7416153559936562,1.7125750897152894,23,17.029810495582304,27,28.086966784148565,4,11.057156288566262,10,12.346395666319939,2,4.847863797340971,167,197.29359373216366,96,117.67453611745101,74,86.30716500666522,30,45.919767371530995,178,156.70581470109533,215,174.58863512968261,26,19.77049135729583,44,25.27544715515103,0,1.032708875212298,3,1.5667732988548766
4,Argentina,29,27.83281065890428,8,5,0,8.330865974961778,2.840212734018945,1.8289212910192778,14,16.256297652520406,20,27.361244285308082,6,11.104946632787676,14,11.926778661190976,3,4.875482036006221,184,194.1535769804094,107,116.78950302247297,71,85.07675598811123,36,45.92094721102929,168,156.81271394537325,217,172.4964420834422,22,19.69239987724717,32,25.781301280803135,0,1.019574249691627,1,1.590679690324152
5,Ecuador,22,20.49025067703142,7,1,6,5.744198402234881,3.2576554703267746,4.9981461274383445,10,1.5077943764930666,22,20.435139895706882,12,18.927345519213816,13,9.011429696257093,4,8.411453900957666,160,170.02469915295643,143,160.88313905959296,59,72.74637933623065,38,68.27733759763396,185,177.6927210905148,177,179.6623699712208,28,23.30891444326243,29,24.365781831205638,2,1.3736594271865639,1,1.3871688697785367
6,Colombia,19,21.704120020034807,4,7,3,5.961420055037165,3.819859854923311,4.218720090039523,-1,3.7267628450746706,16,20.488786978900336,17,16.762024133825665,8,8.952072767459681,10,7.358452308969291,152,170.50071618685936,158,152.74354674559146,52,72.34566083342077,56,63.31901669380261,223,181.04840491895362,212,183.77998395390622,35,23.60653274201657,37,25.257684442658423,2,1.3642424906415287,4,1.5423125970577387
7,Uruguay,16,20.51565141505203,4,4,6,5.596198811588352,3.7270549802869724,4.676746208124675,-7,2.1838708835539684,14,19.978758685644067,21,17.7948878020901,5,8.802039857406083,12,7.793682687720116,138,166.6598898533926,156,156.552813021654,46,71.32740674610162,66,65.74013022953811,173,181.00010008476733,181,182.20863839489414,21,24.035525638887407,23,24.67155393243302,1,1.4343119341543151,2,1.502177794428495
8,Venezuela,7,10.541607461895943,2,1,11,2.3878882929823306,3.377942582948951,8.234169124068718,-16,-13.733273836358403,9,12.744317616837812,25,26.477591453196215,4,5.6530721433563995,13,11.665516404875682,153,131.16067190669503,165,197.13232204176302,44,52.79073375715962,64,86.30143858542294,200,186.49297777404038,180,172.77072601607637,32,26.99422665246337,23,21.660997792054083,2,1.6294659416718646,0,1.1299998198906955
9,Chile,16,20.039321475849448,4,4,6,5.450518829784649,3.6877649864955018,4.861716183719849,-1,1.8679800108070452,15,19.666800233040846,16,17.7988202222338,8,8.646749867130556,8,7.838340812278435,161,164.885549148609,145,156.779898016377,48,70.96000373114998,53,66.74884474905025,207,180.7531045433824,211,181.91637991354415,38,23.839796104186725,30,24.234382479683553,2,1.3766026322988636,2,1.4737529749886775
