,team,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,GoalsF,xGoalsF,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF100,ShotsF,xShotsF,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
0,Liverpool,22,22.84130795523608,6,4,1,6.887207221199386,2.179686291637922,1.933106487162692,20,11.886870086030857,9.159450906314305,-1.0463209923451622,31,21.840549093685695,11,9.953679007654838,15,9.712854391562358,4,4.366775418374237,1.3640636993644515,215,157.6172726392275,1.0670265314748373,109,102.15303629736451,1.109835687381345,77,69.37963959483167,0.9039644276609196,37,40.930814164602104,0.7974941123583118,107,134.17026952535696,0.6195018941193297,90,145.27800617614258,0.6969481903098755,12,17.217922604353973,0.9104456712148424,19,20.868900364639632,0.0,0,0.917128648559985,2.3629496145747324,3,1.2695996484630585
1,Man United,17,20.318243030861524,5,2,4,5.958193954794281,2.443661166478682,2.5981448787270383,2,7.808432676331833,-0.23483444722277014,-5.573598229109063,19,19.23483444722277,17,11.426401770890937,6,8.43995524143163,9,4.973923453693365,1.1046293073434619,165,149.3713763550333,1.3052477822671826,143,109.55774217184464,0.89020709720136,57,64.03004444605872,1.087029010912771,48,44.157055164235885,0.835327405263036,116,138.8677053681398,0.6488778174828574,94,144.86548540778767,1.4100300117961326,25,17.730119068993684,0.6696641993252231,14,20.906000371689103,1.0452773081506217,1,0.9566839270329809,0.0,0,1.2670727188996058
2,Brentford,12,12.225764470917937,3,3,5,3.1023368804434073,2.918753829587714,4.978909289968879,-1,-3.8624038321684004,0.44316740426961587,2.4192364278987846,13,12.556832595730384,14,16.419236427898785,6,5.572994194849915,9,7.237226759079915,1.166111816138794,135,115.76934401283171,0.9298484353555343,124,133.35506657339022,0.9460543815309647,46,48.62299768176107,0.7245954865977364,42,57.96337512010554,0.8282160662325965,120,144.8897273218305,0.8169257057598032,115,140.77167506075872,0.9006808245637783,18,19.9848820015879,1.1322956067438135,21,18.54639360510328,0.8218010458438492,1,1.2168395319735459,0.0,0,1.0631487631868783
3,Wolves,16,14.748862843794663,5,1,5,3.8960119710161516,3.0608269307462073,4.043161098237642,-1,-0.24453127233733518,-3.0397131736706235,2.2842444460079587,11,14.039713173670624,12,14.284244446007959,4,6.148356679328181,5,6.274158294129826,1.0184326872143532,125,122.73761591637799,1.0127506106646689,127,125.40105990817406,0.7660807600349511,40,52.21381620153869,0.8795744589847537,47,53.4349304028787,0.8760484124027832,126,143.82766775915192,0.7399924474687103,106,143.244705216376,1.0900594093781102,21,19.265005025717553,1.1987384012997655,23,19.186838408664983,0.0,0,1.1387147298779912,0.8833106402651507,1,1.1321045557651401
4,Leeds,11,14.875610386176145,2,5,4,4.019417509828346,2.8173578566911095,4.163224633480545,-7,-0.5810512569178421,-2.9364693396805137,-3.482479403401644,11,13.936469339680514,18,14.517520596598356,5,6.095287414788584,6,6.381147883640145,1.275192755928598,157,123.1186416877598,1.335244981727127,167,125.07068162427171,0.8817140581488219,46,52.17110873402429,1.0879799866252533,58,53.30980414438236,0.8917624655733629,128,143.5359806467093,0.8733749101487991,125,143.12295733192454,1.2503458931783216,24,19.19468855053629,1.2388600723352636,24,19.37264791717741,0.864337576243081,1,1.1569553696214245,0.0,0,1.2133776665845868
5,Watford,10,9.895475998419542,3,1,7,2.387668888443949,2.7324693330876952,5.8798617784683564,-7,-7.384109936813065,0.8973884002066939,-0.5132784633936289,12,11.102611599793306,19,18.48672153660637,4,4.9236002974096404,10,8.168062725426164,1.0401133628463706,113,108.64200387808171,1.132718634301182,165,145.66724251145996,0.8975795094895259,40,44.56429717602279,0.8231154592830605,52,63.1746122777142,1.0539510874000553,154,146.11683771767406,0.7782231408812464,108,138.7776774122942,1.1601590678537639,24,20.6868184415425,1.4417131155797653,25,17.340481771192454,0.789245352214378,1,1.2670331186548134,0.0,0,0.9684170277791697
6,Everton,15,15.707349928595033,4,3,4,4.256700833915806,2.9372474268476134,3.8060517392365805,0,0.8761414632135534,1.2993840065016187,-2.175525469715172,16,14.700615993498381,16,13.824474530284828,4,6.4536755251810085,6,6.080030258084926,1.1763070555674182,149,126.66760714797081,1.1454429403734083,140,122.22346051943953,0.825942179268319,45,54.483232760753715,0.8209836890414558,43,52.3761928208402,0.7110928409561572,102,143.4411853490856,0.7121782804020459,103,144.626707714048,1.0740715888101595,20,18.620732741060305,0.9828466283226638,19,19.331602156915974,0.8848324697392834,1,1.130157441322933,0.0,0,1.1640019318003267
7,Aston Villa,10,13.396220424547785,3,1,7,3.5480884828512673,2.751954975993981,4.6999565411547515,-6,-2.843492309248024,0.9174531798833634,-4.073960870635339,14,13.082546820116637,20,15.92603912936466,3,5.775234334589983,10,7.070223316356783,1.0842426956975775,129,118.9770523812515,1.1954409753653732,160,133.8418234753061,0.7731698335032823,39,50.44169897742711,0.9059682309096899,52,57.39715613182858,0.8140444791373916,118,144.95522422194864,1.0531554366383928,150,142.4291180405342,1.2753387781515042,25,19.60263455349126,1.3591216366285264,25,18.394232956231697,0.8222297032362358,1,1.2162051505364904,0.0,0,1.0889683876999185
8,Burnley,8,9.90450945917863,1,5,5,2.4733941571802953,2.4843269876377434,6.042278855181961,-6,-9.043481273779712,0.0757200973313985,2.967761176448313,11,10.924279902668601,17,19.967761176448313,7,4.809220420775585,6,8.782222168050353,1.1458234944181425,123,107.34637629546975,1.1908415966782442,180,151.15360472970994,0.9119225783943721,40,43.86337277713669,0.8213224807950639,54,65.74762199097052,0.7212527919771875,103,142.80707284008378,0.6075145861182953,83,136.62223409371478,1.2975040222765013,26,20.03847352579485,0.8255741721289246,14,16.957894847773545,0.0,0,1.2052539660075101,0.0,0,0.9328956601548938
9,Man City,23,24.574065666626026,7,2,2,7.540469927101851,1.9526558853204752,1.5068741875776734,16,15.979983742847597,-3.0618538095989507,3.081870066751353,22,25.06185380959895,6,9.081870066751353,11,10.83997372758204,1,4.087295511526986,1.1428846297164177,197,172.37085430826147,0.7363645701264114,72,97.77765378858435,0.8256810647640731,62,75.0895262660718,0.5517902153764134,21,38.05794197650729,0.8017462902309577,104,129.71684592396542,0.6969028248449948,98,140.6221879238288,1.083801926110072,18,16.60820078499464,0.9119050774299756,19,20.83550192915665,1.240187846099708,1,0.8063294630284601,0.9158701297425849,1,1.0918578601106477
