timestamp,date_GMT,status,date,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627146000,Jul 24 2021 - 5:00pm,complete,24/07/2021,N/A,Atlas Women,Querétaro Women,N/A,2,0,0,2.1,0.82,2,1,3,1,0,1,"51,65",21,4,5,1,0,0,1,0,1,0,1,6,4,3,2,3,2,-1,-1,58,42,0.81,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4.25,6,1.14,1.55,1.55,3.9,1.7,2,Estadio CECAF (Tonalá)
1627146000,Jul 24 2021 - 5:00pm,complete,24/07/2021,N/A,Cruz Azul Women,Guadalajara Women,N/A,2,0,0,1.39,1.71,1,1,2,1,1,0,3,9004,2,6,0,0,0,0,0,0,0,0,8,16,4,10,4,6,5,10,48,52,1.1,2.41,0,0,0,0,0,0,0,0,0,0,0,0,5.2,4,1.5,1.14,1.56,2.3,3.8,1.62,2.15,Instalaciones La Noria Cancha 1 (Ciudad de México)
1627227000,Jul 25 2021 - 3:30pm,complete,25/07/2021,N/A,Monterrey Women,Juárez W,N/A,2,0,0,2.73,0.47,2,0,2,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,6.25,8.75,0,0,0,0,0,0,Cancha El Barrial (Santiago)
1627250400,Jul 25 2021 - 10:00pm,complete,25/07/2021,N/A,Atlético San Luis W,Pumas UNAM Women,N/A,2,0,0,1.29,0.72,2,1,3,2,1,1,"36,59",17,1,6,2,0,2,0,0,2,0,2,5,6,3,2,2,4,11,11,47,53,0.73,0.88,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1.25,0,0,0,0,0,0,Estadio Alfonso Lastras Ramírez (San Luis Potosí)
1627336800,Jul 26 2021 - 10:00pm,complete,26/07/2021,N/A,Necaxa Women,Pachuca Women,N/A,2,0,0,1.06,1.65,1,2,3,0,0,0,54,"669,007",1,4,-1,-1,-1,-1,-1,-1,-1,-1,8,15,3,4,5,11,-1,-1,46,54,1.09,1.62,0,0,0,0,0,0,0,0,0,0,0,0,3.95,3.9,1.57,1.17,1.6,2.45,4.3,1.68,2.05,Estadio Victoria de Aguascalientes (Aguascalientes)
1627344000,Jul 27 2021 - 12:00am,complete,27/07/2021,N/A,León Women,Tigres UANL Women,N/A,2,0,0,0.82,2.18,0,2,2,1,0,1,,"13,72",1,11,2,0,0,0,1,1,0,0,2,11,2,6,0,5,14,10,39,61,0.48,1.73,0,0,0,0,0,0,0,0,0,0,0,0,8.25,6.5,1.15,1.07,1.24,1.57,2.3,1.62,2.05,Estadio León (Nou Camp) (León de los Aldamas)
1627351200,Jul 27 2021 - 2:00am,complete,27/07/2021,N/A,Tijuana Women,Toluca Women,N/A,2,0,0,1.68,1.12,2,0,2,0,0,0,"54,83",,5,0,0,0,2,0,0,0,0,2,13,9,7,6,6,3,-1,-1,65,35,1.93,1.53,0,0,0,0,0,0,0,0,0,0,0,0,1.83,3.4,3.3,1.27,1.77,2.8,4.85,1.74,1.91,Estadio Caliente (Tijuana)
1627682400,Jul 30 2021 - 10:00pm,complete,30/07/2021,N/A,Querétaro Women,América Women,N/A,3,1,0,1.18,1.65,1,3,4,1,0,1,52,"6,54,71",4,6,1,0,2,0,1,0,0,2,5,14,4,8,1,6,-1,-1,45,55,0.73,1.66,1,50,50,0,0,0,50,50,0,0,3,1,3.15,3.15,1.95,1.33,1.95,3.15,5.75,1.83,1.77,Estadio La Corregidora (Santiago de Querétaro)
1627750800,Jul 31 2021 - 5:00pm,complete,31/07/2021,N/A,Toluca Women,Atlético San Luis W,N/A,3,0,0,1.12,0.65,1,0,1,0,0,0,88,,3,2,0,0,2,0,0,0,0,2,9,12,5,7,4,5,10,14,43,57,1.26,1.66,5,50,100,100,100,100,100,100,100,100,5,3,1.4,4,5.25,1.27,1.71,2.8,4.8,1.83,1.8,Estadio Nemesio Díez (Toluca de Lerdo)
1627776000,Aug 01 2021 - 12:00am,complete,01/08/2021,N/A,Pachuca Women,Cruz Azul Women,N/A,3,1,3,1.6,1.11,0,1,1,1,0,1,,33,8,3,2,0,1,0,1,1,0,1,7,4,2,2,5,2,12,7,52,48,1.09,0.64,0.5,0,0,0,0,0,0,0,0,50,8,0,1.54,3.65,4.45,1.29,1.8,2.95,5.25,1.91,1.74,Estadio Hidalgo (Pachuca de Soto)
