Torneo,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Reference,ProbH,ProbD,ProbA,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,Result,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,Margin,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,xPHome,xPAway,xGoals,xHG,xAG,HTHG,HTAG,HS,AS,HST,AST,HSM,ASM,HF,AF,HY,AY,HR,AR
A2021,1627697100,Jul 31 2021 - 2:05am,complete,N/A,Puebla,Guadalajara,Fernando Guerrero Ramírez,0.46,0.455547471,0.30193764,0.242514889,2,0,0,1.38,1.32,A,0,2,2,0,0,0,,"55,90'4",4,8,0,0,3,0,0,0,2,1,6,6,3,3,3,3,13,17,54,46,1.11,1.06,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3.1,3.8,0.020643005,1.53,2.45,4.4,8.75,2.15,1.65,Estadio Cuauhtémoc (Puebla),1.695577235,1.023902952,2.540562914,1.488883633,1.051679281,0.645813623,0.453642384,12.68689218,9.805919662,5.319812126,4.095431255,7.367080051,5.710488406,13.0488908,13.71483954,1.56752346,1.951040392,0.083027336,0.131170951
A2021,1627768800,Jul 31 2021 - 10:00pm,complete,N/A,León,Tijuana,Jorge Antonio Pérez Durán,0.64,0.640921409,0.218157182,0.140921409,2,0,0,1.55,0.53,H,2,1,3,1,1,0,"26,90",90'8,4,4,2,0,1,0,0,2,0,1,15,10,6,6,9,4,12,14,57,43,1.61,1.27,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4.1,6,0.025745257,1.25,1.65,2.55,4.45,1.74,2.05,Estadio León (Nou Camp) (León de los Aldamas),2.174591099,0.597963586,2.834375,1.980803571,0.853571429,0.868303571,0.366071429,15.039801,8.632669983,6.518923465,3.450798991,8.52087753,5.181870993,12.4856661,13.57335582,1.395273024,2.058679707,0.068459658,0.127139364
A2021,1627776000,Aug 01 2021 - 12:00am,complete,N/A,América,Necaxa,Fernando Hernández Gómez,0.6,0.605740789,0.250782574,0.143476638,2,0,0,1.9,1.28,H,2,1,3,1,1,0,"40,76",68,3,4,0,0,0,0,0,0,0,0,16,13,6,9,10,4,7,13,62,38,1.74,1.62,0,0,0,0,0,0,0,0,0,0,0,0,1.59,3.65,6,0.023190029,1.36,2,3.4,6.5,2,1.74,Estadio Azteca (Ciudad de México (D.F.)),2.074979229,0.682206641,2.73100907,1.841836735,0.889172336,0.804822695,0.380992908,14.25174825,8.831668332,6.290126582,3.616202532,7.961621669,5.2154658,12.44489589,13.6206196,1.406084017,2.070980203,0.061323032,0.131337518
A2021,1627783200,Aug 01 2021 - 2:00am,complete,N/A,Monterrey,Pumas UNAM,Adonai Escobedo González,0.7,0.699516908,0.192270531,0.10821256,2,1,0,1.79,1.1,H,2,0,2,1,1,0,"2,53",,1,3,0,0,3,0,0,0,1,2,16,8,4,4,12,4,11,16,49,51,1.55,1.18,1,50,50,0,0,0,0,0,50,50,9,3,1.38,4.6,7.5,0.025120773,1.26,1.71,2.7,4.8,1.95,1.8,Estadio BBVA (Guadalupe),2.32887431,0.476959221,2.992582603,2.224544842,0.768037761,0.965610249,0.341874579,16.1,8.349350649,7.267810026,3.277044855,8.832189974,5.072305794,11.9587217,13.45006658,1.301526718,1.979643766,0.053435115,0.118320611
A2021,1627783200,Aug 01 2021 - 2:00am,complete,N/A,Atlas,Juárez,Óscar Mejía García,0.68,0.678408517,0.209477283,0.1121142,2,0,0,1.55,0.71,H,2,0,2,0,0,0,"69,90'3",,6,3,2,0,2,0,2,0,1,1,19,9,6,0,13,9,9,10,59,41,1.97,0.76,0,0,0,0,0,0,0,0,0,0,0,0,1.42,4.25,7.25,0.025816835,1.4,2.1,3.65,7.25,2.4,1.54,Estadio Jalisco (Guadalajara),2.280924043,0.51285767,2.910756501,2.135933806,0.774822695,0.933806147,0.337470449,15.78372352,8.583054627,6.733861835,3.284258211,9.049861688,5.298796416,12.3625,13.90454545,1.353005464,2.018579235,0.066666667,0.121311475
A2021,1627837200,Aug 01 2021 - 5:00pm,complete,N/A,Toluca,Tigres UANL,Víctor Alfonso Cáceres Hernández,0.42,0.42953343,0.278018278,0.292448292,2,0,3,1.17,1.48,H,3,1,4,2,1,1,"33,84,90'6",27,6,8,1,0,2,1,0,1,0,3,15,20,9,6,6,14,15,14,58,42,1.88,1.96,1.5,50,50,50,0,0,0,50,50,50,1,1,2.2,3.3,3.15,0.025012025,1.36,2,3.3,6,1.83,1.91,Estadio Nemesio Díez (Toluca de Lerdo),1.578010603,1.135302541,2.488464951,1.396960958,1.091503993,0.60765391,0.47276761,12.29504786,10.04723263,5.29171921,4.258091635,7.003328647,5.789140991,12.77041896,13.41112992,1.556141062,1.911430888,0.084920957,0.13234698
A2021,1627858800,Aug 01 2021 - 11:00pm,complete,N/A,Santos Laguna,Cruz Azul,Jorge Isaac Rojas Castillo,0.44,0.441528643,0.304281216,0.254190141,2,0,0,1.58,1.5,D,1,1,2,0,0,0,82,64,5,0,2,0,6,0,0,2,3,3,10,7,4,3,6,4,13,11,68,32,1.31,0.93,0,0,0,0,0,0,0,0,0,0,0,0,2.15,3.05,3.6,0.023587636,1.5,2.4,4.25,8.75,2.15,1.67,Estadio Nuevo Corona (Torreón),1.639545975,1.075842936,2.480764636,1.414097969,1.066666667,0.627120669,0.460095579,12.5696928,9.86955525,5.275425679,4.127933732,7.294267123,5.741621518,12.89724601,13.50705855,1.576522702,1.917165006,0.084385382,0.123366556
A2021,1627956000,Aug 03 2021 - 2:00am,complete,N/A,Atlético San Luis,Querétaro,Luis Enrique Santander Aguirre,0.46,0.458417111,0.293192878,0.248390011,2,0,0,1.11,0.65,D,1,1,2,1,1,0,3,62,5,6,1,0,2,1,1,0,1,2,16,8,5,3,11,5,14,3,64,36,1.67,0.88,0,0,0,0,0,0,0,0,0,0,0,0,2.05,3.1,3.6,0.029387767,1.49,2.35,4.2,8.5,2.15,1.69,Estadio Alfonso Lastras Ramírez (San Luis Potosí),1.695577235,1.023902952,2.540562914,1.488883633,1.051679281,0.645813623,0.453642384,12.68689218,9.805919662,5.319812126,4.095431255,7.367080051,5.710488406,13.0488908,13.71483954,1.56752346,1.951040392,0.083027336,0.131170951
A2021,1628215500,Aug 06 2021 - 2:05am,complete,N/A,Querétaro,León,N/A,0.28,0.284331409,0.289291727,0.426376864,3,1,0,1.24,1.4,A,0,1,1,1,0,1,,28,4,4,3,0,1,0,1,2,1,0,13,15,3,2,10,13,9,12,49,51,1.37,1.31,2,0,50,50,50,0,0,0,50,50,3,3,3.2,3.15,2.2,0.028168591,1.35,1.95,3.15,5.75,1.77,2.05,Estadio La Corregidora (Santiago de Querétaro),1.152953317,1.562853555,2.544560736,1.128766254,1.415794481,0.49635268,0.610846813,11.04442037,11.38840737,4.5379574,4.848170399,6.506462968,6.540236969,13.11758242,13.28241758,1.792592593,1.806980434,0.104706504,0.107350608
A2021,1628294400,Aug 07 2021 - 12:00am,complete,N/A,Mazatlán,Monterrey,Mario Humberto Vargas Mata,0.28,0.277602673,0.287370683,0.435026644,3,3,0,1.71,1.05,D,1,1,2,2,1,1,45'1,45'3,2,4,3,0,3,2,1,2,2,3,10,7,3,3,7,4,13,13,53,47,1.32,0.91,1.5,50,50,50,0,0,50,50,0,50,4,1,3.25,3.15,2.15,0.030089635,1.36,2,3.3,6,1.8,1.95,Estadio de Mazatlán (Mazatlán),1.152953317,1.562853555,2.544560736,1.128766254,1.415794481,0.49635268,0.610846813,11.04442037,11.38840737,4.5379574,4.848170399,6.506462968,6.540236969,13.11758242,13.28241758,1.792592593,1.806980434,0.104706504,0.107350608
A2021,1628301900,Aug 07 2021 - 2:05am,complete,N/A,Necaxa,Cruz Azul,Adonai Escobedo González,0.32,0.316052858,0.304558605,0.379388537,3,0,1,1.24,1.5,A,1,2,3,2,1,1,28,"20,71",4,6,0,0,3,0,0,0,1,2,18,7,5,4,13,3,12,13,47,53,1.79,1.02,2.5,50,100,50,0,0,50,50,50,100,6,8,2.9,3,2.45,0.028774728,1.45,2.2,3.75,7.25,1.95,1.8,Estadio Victoria de Aguascalientes (Aguascalientes),1.274681051,1.439248224,2.531345428,1.210167056,1.321178373,0.531356694,0.556334232,11.21109011,11.01700787,4.679233227,4.708080485,6.53185688,6.308927389,12.72547771,13.06847134,1.69023569,1.805019896,0.10590756,0.114172023
A2021,1628301960,Aug 07 2021 - 2:06am,complete,N/A,Tijuana,Toluca,Diego Montaño Robles,0.5,0.494542785,0.256696861,0.248760353,3,0,3,1.35,1.29,A,0,2,2,1,0,1,,"11,80",7,3,3,0,3,0,1,2,0,3,17,10,4,7,13,3,11,18,61,39,1.69,1.41,3.5,100,100,100,50,0,50,100,100,100,11,2,1.91,3.5,3.6,0.029017424,1.31,1.87,3.05,5.75,1.83,1.95,Estadio Caliente (Tijuana),1.800193731,0.926851208,2.520207989,1.534270858,0.985937131,0.675135902,0.428672734,12.98669114,9.416704911,5.664571695,4.024208566,7.322119448,5.392496344,12.50816231,13.36963619,1.443801469,1.941019363,0.08413087,0.127531716
A2021,1628373600,Aug 07 2021 - 10:00pm,complete,N/A,Guadalajara,Juárez,Fernando Hernández Gómez,0.56,0.563585434,0.261064426,0.17535014,3,0,0,1.47,0.71,D,2,2,4,2,1,1,"15,89","10,51",8,3,0,0,2,0,0,0,0,2,19,9,8,4,11,5,14,9,65,35,2.16,1.03,2.5,50,100,50,0,0,0,50,100,100,10,2,1.7,3.5,5,0.02464986,1.38,2.1,3.95,7.75,2.2,1.67,Estadio AKRON (Zapopan),1.967315686,0.777294846,2.689248895,1.754681254,0.934567641,0.778245319,0.412371134,13.77153558,9.044569288,6.082129278,3.820152091,7.689406303,5.224417197,12.29760547,13.3109084,1.371312684,1.951696165,0.06600295,0.12979351
A2021,1628380800,Aug 08 2021 - 12:00am,complete,N/A,América,Puebla,César Arturo Ramos Palazuelos,0.5,0.497504844,0.281636942,0.220858214,3,3,1,1.9,1.42,H,2,0,2,1,1,0,"43,54",,3,5,2,0,2,0,0,2,0,2,11,13,6,4,5,9,13,17,46,54,1.32,1.35,2.5,100,100,50,0,0,0,50,100,100,7,6,1.91,3.25,4.05,0.026055366,1.43,2.2,3.8,7.5,2.05,1.74,Estadio Azteca (Ciudad de México (D.F.)),1.800193731,0.926851208,2.520207989,1.534270858,0.985937131,0.675135902,0.428672734,12.98669114,9.416704911,5.664571695,4.024208566,7.322119448,5.392496344,12.50816231,13.36963619,1.443801469,1.941019363,0.08413087,0.127531716
A2021,1628388000,Aug 08 2021 - 2:00am,complete,N/A,Tigres UANL,Santos Laguna,Marco Antonio Ortíz Nava,0.46,0.458819766,0.288475205,0.252705029,3,0,3,2,1.11,D,1,1,2,1,0,1,89,8,4,7,1,1,3,0,2,0,2,1,13,13,5,5,8,8,17,15,51,49,1.58,1.47,1.5,0,50,50,0,0,50,50,0,50,7,2,2.05,3.15,3.55,0.028985112,1.45,2.25,3.9,7.75,2.1,1.71,Estadio Universitario de Nuevo León (San Nicolás de los Garza),1.695577235,1.023902952,2.540562914,1.488883633,1.051679281,0.645813623,0.453642384,12.68689218,9.805919662,5.319812126,4.095431255,7.367080051,5.710488406,13.0488908,13.71483954,1.56752346,1.951040392,0.083027336,0.131170951
A2021,1628442000,Aug 08 2021 - 5:00pm,complete,N/A,Pumas UNAM,Atlético San Luis,Oscar Macias Romo,0.4,0.394799054,0.302600473,0.302600473,3,1,3,1.58,1.25,A,1,3,4,3,1,2,39,"6,32,82",5,0,3,0,0,0,1,2,0,0,12,11,4,6,8,5,14,11,63,37,1.36,1.33,1.5,50,50,50,0,0,0,50,50,50,5,0,2.35,3,3,0.030732861,1.44,2.2,3.75,7.25,1.95,1.8,Estadio Olímpico de Universitario (Ciudad de México (D.F.)),1.518160356,1.195273037,2.495615534,1.344038264,1.151577269,0.599362259,0.507231523,11.99278846,10.0277535,5.285745954,4.406783418,6.707042507,5.620970078,13.04463691,13.49811237,1.583652618,1.874414645,0.08599404,0.13452533
A2021,1628560800,Aug 10 2021 - 2:00am,complete,N/A,Pachuca,Atlas,Guillermo Pacheco Larios,0.36,0.364886184,0.317556908,0.317556908,3,3,1,1.89,1.68,A,0,1,1,1,0,1,,5,4,6,4,0,1,0,2,2,0,1,15,12,6,6,9,6,11,10,64,36,1.74,1.41,2,0,50,50,50,0,0,0,50,50,10,2,2.55,2.9,2.9,0.027270678,1.56,2.5,4.45,9,2.2,1.67,Estadio Hidalgo (Pachuca de Soto),1.402386462,1.30932659,2.511035053,1.269326095,1.241708958,0.565864023,0.551581681,11.49400826,10.5072314,4.923879041,4.629614181,6.570129224,5.877617224,12.7987395,12.98844538,1.604928297,1.79196122,0.088870935,0.116946072
