Rank,team,Rpoints,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,RGoalsF,GoalsF,xGoalsF,RGoalsA,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF100,ShotsF,xShotsF,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
14,Club Tijuana,72%,15,20.88494968,4,3,10,5.441744065,4.55971749,6.998538445,-15,-3.470066669,-8.003944521,-3.52598881,60%,12,20.00394452,115%,27,23.47401119,0,8.762726869,0,10.29042343,0,0,184.1791294,0,0,199.6027669,0,0,77.60114542,0,0,85.47238013,0,0,223.4427326,0,0,221.0793431,0,0,30.35122188,0,0,28.9789892,0,0,1.876698808,0,0,1.716544109
15,Atl. San Luis,59%,11,18.56351813,3,2,12,4.726503764,4.384006836,7.889489401,-19,-6.630576519,-2.913491837,-9.455931644,85%,16,18.91349184,137%,35,25.54406836,0,8.287985993,0,11.18520816,0,0,176.7485094,0,0,209.3546341,0,0,73.90781769,0,0,90.29734767,0,0,224.7923339,0,0,219.688882,0,0,30.99174172,0,0,28.28643176,0,0,1.96555134,0,0,1.694078838
16,Necaxa,116%,24,20.7275353,7,3,7,5.364660605,4.633553488,7.001785907,-4,-3.520985458,-4.001930264,3.522915722,80%,16,20.00193026,85%,20,23.52291572,0,8.792057841,0,10.26698885,0,0,183.1933694,0,0,199.1276522,0,0,76.91452381,0,0,85.15940645,0,0,223.9168601,0,0,221.6284322,0,0,30.52654219,0,0,29.12204118,0,0,1.89215886,0,0,1.759341955
17,U.A.N.L.- Tigres,94%,28,29.87180706,7,7,3,8.535573669,4.26508605,4.199340282,11,9.560114499,-0.452029254,1.891914755,98%,27,27.45202925,89%,16,17.89191476,0,11.94676109,0,7.808270642,0,0,218.6443275,0,0,172.0582588,0,0,94.004187,0,0,70.61119268,0,0,218.298142,0,0,226.2343304,0,0,27.37812316,0,0,31.60991084,0,0,1.555849865,0,0,1.972885809
,,,419,418.8074902,113,80,,112.8074902,80.38501952,,,,,,,390,395.9922863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,419,418.8074902,113,80,,112.8074902,80.38501952,,,,,,,390,395.9922863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100%,,100%,100%,,,,,,,,,,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Avg,xAvg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2.549019608,2.588184878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
