,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,81.01,76.4,14.0,9.7,92352,38000,29015,5307,3678
2,Liverpool,74.36,68.2,18.5,13.3,84766,38000,25915,7021,5064
3,Chelsea,63.1,55.9,21.6,22.5,71935,38000,21241,8212,8547
4,Man United,58.66,50.9,23.2,25.8,66878,38000,19350,8828,9822
5,Tottenham,56.26,48.5,23.4,28.1,64137,38000,18413,8898,10689
6,Leicester,54.26,46.1,24.4,29.5,61856,38000,17524,9284,11192
7,Arsenal,53.6,45.9,23.2,31.0,61104,38000,17435,8799,11766
8,Wolves,48.39,39.7,26.1,34.2,55165,38000,15088,9901,13011
9,Everton,46.35,37.8,25.5,36.6,52835,38000,14377,9704,13919
10,Southampton,40.29,32.3,24.0,43.7,45928,38000,12273,9109,16618
11,Sheffield United,39.23,30.6,25.8,43.6,44724,38000,11637,9813,16550
12,Brighton,38.12,29.6,25.6,44.8,43453,38000,11244,9721,17035
13,Watford,37.17,29.0,24.4,46.5,42372,38000,11029,9285,17686
14,West Ham,36.81,29.0,23.3,47.7,41964,38000,11038,8850,18112
15,Burnley,35.05,26.9,24.6,48.6,39961,38000,10208,9337,18455
16,Bournemouth,34.17,26.3,23.8,50.0,38957,38000,9976,9029,18995
17,Crystal Palace,33.56,25.2,25.1,49.7,38256,38000,9574,9534,18892
18,Aston Villa,32.39,24.6,23.5,52.0,36926,38000,9334,8924,19742
19,Newcastle,30.58,22.4,24.5,53.1,34863,38000,8523,9294,20183
20,Norwich,28.92,21.6,22.0,56.4,32972,38000,8210,8342,21448
