Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fiorentina,81,229,374,522,370,169,110,62,37,19,8,5,6,4,3,0,1,0,0,0
Roma,185,418,625,397,204,92,47,15,6,5,3,1,0,1,1,0,0,0,0,0
Atalanta,0,1,7,33,67,108,136,171,145,181,181,159,158,144,116,111,120,76,63,23
Cagliari,0,0,3,14,34,68,99,111,139,136,161,185,172,175,169,161,137,116,81,39
Chievo,0,1,4,13,29,65,110,142,133,149,161,169,172,167,147,137,148,119,90,44
Messina,0,0,0,0,0,4,18,16,36,39,46,66,83,115,139,186,224,287,452,289
Milan,509,745,419,207,76,25,14,3,1,1,0,0,0,0,0,0,0,0,0,0
Palermo,20,67,215,343,464,315,191,138,80,55,31,24,24,12,15,5,1,0,0,0
Sampdoria,0,2,10,39,86,142,172,185,166,189,145,145,133,138,92,121,96,80,41,18
Torino,0,0,2,13,36,71,104,116,147,161,164,171,161,162,166,147,136,122,84,37
Inter,1198,496,192,75,29,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Reggina,1,2,5,22,63,110,117,166,162,167,160,151,142,155,141,135,106,93,59,43
Ascoli,0,0,0,0,0,1,0,4,3,6,7,13,24,23,42,72,118,183,359,1145
Catania,0,1,0,7,17,30,46,52,79,72,112,130,132,166,185,197,214,222,209,129
Empoli,0,0,2,7,18,45,78,96,108,121,131,146,143,136,191,192,175,175,167,69
Lazio,5,27,120,215,298,372,298,171,156,91,72,49,36,25,26,17,11,4,5,2
Livorno,0,1,1,6,25,57,80,108,134,137,168,149,177,146,161,152,146,181,122,49
Parma,0,1,2,5,25,39,65,90,116,112,166,139,165,169,163,177,171,186,141,68
Siena,0,3,3,16,39,68,97,127,174,154,147,175,146,160,158,135,145,120,95,38
Udinese,1,6,16,66,120,215,213,226,178,205,137,123,126,102,85,55,51,36,32,7
