Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Necaxa,64,62,50,53,48,45,39,35,24,25,18,8,6,9,4,7,2,1,0,0
Guadalajara Chivas,4,10,15,8,19,28,27,32,34,41,42,55,41,34,36,36,26,12,0,0
Club Tijuana,26,31,37,37,43,40,49,41,45,38,31,32,19,13,7,6,2,3,0,0
Cruz Azul,0,0,1,2,2,2,1,9,5,12,16,19,41,48,60,81,86,115,0,0
U.N.A.M.- Pumas,33,36,42,41,48,48,39,49,32,35,21,17,28,19,5,3,1,3,0,0
Atl. San Luis,80,78,54,61,40,36,31,30,29,11,17,15,10,5,0,2,0,1,0,0
Pachuca,2,5,5,10,10,15,19,23,34,36,49,46,46,48,46,46,29,31,0,0
Mazatlan FC,60,61,71,43,53,37,33,33,21,24,18,23,10,6,5,2,0,0,0,0
Monterrey,0,0,0,1,1,1,8,5,12,14,22,23,32,55,55,73,104,94,0,0
Puebla,49,32,47,45,44,37,45,50,30,40,20,16,15,9,13,5,1,2,0,0
Juarez,115,80,45,55,48,26,26,22,28,14,17,7,9,5,2,1,0,0,0,0
U.A.N.L.- Tigres,0,0,1,2,3,4,5,7,14,20,16,29,30,60,71,58,92,88,0,0
Club America,5,4,5,11,10,17,23,27,34,30,42,43,43,44,60,36,37,29,0,0
Toluca,32,40,57,51,33,46,37,25,43,31,26,25,20,12,12,5,4,1,0,0
Queretaro,9,31,31,31,45,44,44,38,39,44,39,32,21,25,12,7,6,2,0,0
Santos Laguna,2,9,9,7,12,16,25,27,28,32,47,46,58,38,44,38,39,23,0,0
Atlas,19,20,29,40,38,55,46,34,35,32,36,31,26,18,13,16,10,2,0,0
Club Leon,0,1,1,2,3,3,3,13,13,21,23,33,45,52,55,78,61,93,0,0
