Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Chievo,0,2,3,33,73,84,125,157,144,134,154,161,127,127,136,135,124,119,86,76
Milan,857,663,375,73,22,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Atalanta,0,0,1,3,12,21,33,36,50,73,86,92,113,105,174,187,209,218,264,323
Brescia,0,0,1,12,42,49,55,84,106,115,118,126,137,158,156,175,174,156,170,166
Cagliari,0,0,2,11,24,38,59,74,108,99,129,159,167,174,142,180,169,168,161,136
Palermo,1,0,24,61,105,142,177,192,186,167,161,118,132,117,117,104,67,58,45,26
Parma,0,2,25,114,154,171,212,197,178,170,134,122,123,111,90,54,45,37,45,16
Reggina,0,0,0,1,7,14,20,31,45,58,81,98,111,135,170,185,215,230,279,320
Roma,10,51,161,502,372,257,179,119,107,67,55,33,35,17,11,10,6,4,3,1
Sampdoria,0,14,74,274,299,290,230,188,152,133,84,59,56,38,36,27,19,14,9,4
Inter,305,558,751,211,90,48,19,8,7,3,0,0,0,0,0,0,0,0,0,0
Lecce,0,0,3,24,38,67,95,116,145,123,135,156,156,168,155,134,158,123,102,102
Bologna,0,1,2,24,45,79,100,103,121,125,168,174,159,136,146,151,123,136,110,97
Fiorentina,1,5,28,127,172,178,211,171,163,170,160,139,117,90,75,53,49,48,31,12
Juventus,809,674,388,82,30,12,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Lazio,0,2,15,89,115,148,149,160,182,180,161,134,139,117,110,87,67,63,42,40
Livorno,0,0,0,6,17,34,36,46,64,86,83,127,118,161,146,153,195,234,233,261
Messina,0,0,1,4,13,28,40,37,48,82,92,117,130,151,151,168,213,223,238,264
Siena,0,0,6,20,26,49,58,78,85,112,144,128,135,162,165,183,155,162,176,156
Udinese,17,28,140,329,344,284,199,200,108,102,55,57,45,33,20,14,12,7,6,0
