Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Cottbus,0,1,4,6,16,29,49,53,89,85,153,144,189,217,241,219,241,264,0,0
Dortmund,436,545,439,243,151,87,51,21,12,8,3,2,1,0,0,0,1,0,0,0
Freiburg,0,4,4,27,55,77,100,135,127,162,169,177,162,193,184,193,122,109,0,0
Leverkusen,547,511,417,228,142,57,44,25,18,6,2,2,0,0,0,1,0,0,0,0
M'gladbach,1,5,11,35,69,86,140,145,168,159,161,184,181,169,140,151,125,70,0,0
Munich 1860,4,14,20,73,87,143,177,188,195,181,200,163,151,111,115,83,60,35,0,0
Stuttgart,5,15,47,89,119,166,178,223,201,173,160,163,135,112,85,66,40,23,0,0
St Pauli,0,0,0,3,5,12,24,36,40,71,98,107,148,169,222,274,348,443,0,0
Bayern Munich,837,508,317,168,83,48,17,12,4,3,0,3,0,0,0,0,0,0,0,0
FC Koln,0,0,1,3,10,17,25,32,49,55,71,99,127,156,199,276,369,511,0,0
Hamburg,3,8,16,41,62,98,160,165,176,205,195,196,170,150,133,113,66,43,0,0
Hansa Rostock,0,1,5,16,25,40,57,74,95,146,137,168,218,230,226,203,195,164,0,0
Hertha,56,99,182,262,283,283,206,155,149,116,67,53,32,24,12,12,8,1,0,0
Werder Bremen,14,37,63,133,183,222,234,207,206,181,160,101,76,58,58,34,24,9,0,0
Wolfsburg,1,2,12,47,72,116,137,167,184,185,179,193,155,150,149,104,99,48,0,0
Kaiserslautern,37,115,184,250,295,253,190,165,120,118,82,60,57,36,16,15,5,2,0,0
Nurnberg,0,0,3,8,11,24,36,57,87,97,107,152,178,206,209,251,296,278,0,0
Schalke 04,59,135,275,368,332,242,175,140,80,49,56,33,20,19,11,5,1,0,0,0
