Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,1562,295,87,34,10,6,2,1,2,1,0,0,0,0,0,0,0,0,0,0
Duisburg,0,0,0,0,3,4,8,24,34,40,70,88,108,147,224,281,361,608,0,0
FC Koln,0,1,2,2,18,23,47,57,91,109,124,151,164,217,217,243,267,267,0,0
Hamburg,73,306,383,338,307,193,145,99,61,37,21,17,11,4,2,3,0,0,0,0
Hannover,1,8,29,33,67,110,150,179,185,193,184,191,168,148,118,101,83,52,0,0
Werder Bremen,214,654,431,254,186,111,70,33,25,11,8,1,1,1,0,0,0,0,0,0
Wolfsburg,0,8,22,42,60,91,140,174,184,189,201,205,169,148,127,104,84,52,0,0
Ein Frankfurt,0,1,7,14,35,43,59,91,103,157,151,171,197,189,215,203,206,158,0,0
Schalke 04,103,411,416,368,233,184,107,64,41,39,16,10,5,1,0,2,0,0,0,0
Bielefeld,0,1,4,14,10,33,51,70,90,103,141,146,175,212,222,245,261,222,0,0
Dortmund,1,47,100,153,209,202,257,229,202,162,122,101,75,55,32,25,18,10,0,0
Hertha,11,91,157,208,242,266,238,206,147,117,110,77,56,32,24,11,5,2,0,0
Kaiserslautern,1,0,5,15,37,45,71,100,139,121,154,149,208,194,218,194,192,157,0,0
Leverkusen,16,94,168,206,240,240,211,192,165,138,103,77,64,36,23,14,11,2,0,0
M'gladbach,1,5,17,38,68,99,113,152,193,195,198,190,178,165,133,109,91,55,0,0
Nurnberg,0,1,4,17,26,40,52,75,121,130,155,183,178,214,202,213,198,191,0,0
Mainz,0,0,1,10,15,42,48,62,85,125,146,173,190,216,216,236,213,222,0,0
Stuttgart,17,77,167,254,234,268,231,192,132,133,96,70,53,21,27,16,10,2,0,0
