Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Roma,231,316,407,346,241,153,120,76,51,23,13,13,2,4,0,3,1,0,0,0
Udinese,16,43,96,166,225,218,272,243,217,163,125,62,51,38,27,16,12,5,5,0
Bari,0,0,0,0,1,2,7,9,9,20,25,47,61,95,143,167,222,279,372,541
Chievo,0,0,2,2,6,21,27,26,62,52,103,136,175,206,218,220,236,183,175,150
Fiorentina,9,23,67,110,163,209,214,242,226,209,134,129,74,80,36,35,15,16,6,3
Milan,806,546,285,159,91,62,25,10,8,3,3,1,0,1,0,0,0,0,0,0
Palermo,5,16,51,87,148,183,225,217,236,212,170,133,106,83,51,44,21,6,4,2
Parma,0,3,18,17,38,58,105,123,159,198,214,233,190,149,135,120,92,75,41,32
Sampdoria,7,8,22,32,76,102,154,183,209,235,230,187,170,114,98,68,43,26,24,12
Bologna,0,0,0,0,0,3,6,19,19,50,54,90,146,159,183,193,237,272,287,282
Cagliari,0,2,5,7,16,22,42,65,104,115,161,165,188,185,201,192,172,144,117,97
Cesena,0,0,0,0,4,7,11,28,29,63,100,112,139,182,223,203,238,244,217,200
Inter,663,572,317,189,110,77,36,16,11,4,4,1,0,0,0,0,0,0,0,0
Brescia,0,0,0,0,2,7,8,19,22,43,59,90,109,157,180,241,255,262,286,260
Catania,1,1,4,9,18,35,62,73,100,125,155,200,195,203,169,196,144,147,102,61
Genoa,2,2,15,32,64,92,127,162,182,191,203,186,210,150,113,97,65,54,40,13
Juventus,147,246,331,362,273,216,136,105,55,55,31,20,8,10,4,0,1,0,0,0
Lazio,26,72,125,205,229,260,228,194,172,145,107,75,70,28,27,13,11,8,5,0
Lecce,0,0,0,0,2,3,4,15,18,30,63,78,93,145,187,186,232,279,318,347
Napoli,87,150,255,277,293,270,191,175,111,64,46,42,13,11,5,6,3,0,1,0
