Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,1162,508,208,67,33,11,5,4,1,1,0,0,0,0,0,0,0,0,0,0
Hamburg,4,43,111,206,240,234,235,178,174,142,131,107,63,47,39,25,17,4,0,0
Leverkusen,10,70,154,242,265,272,220,170,152,116,118,59,54,42,25,12,11,8,0,0
Mainz,0,1,2,10,15,46,51,62,94,112,142,152,172,220,234,235,228,224,0,0
M'gladbach,0,3,10,28,39,65,81,123,139,157,155,183,204,184,177,177,156,119,0,0
Schalke 04,168,387,566,350,183,118,87,60,28,22,15,7,4,3,2,0,0,0,0,0
Stuttgart,55,139,321,353,313,247,181,129,78,66,53,31,16,7,4,6,0,1,0,0
Hannover,0,7,14,37,74,78,125,152,166,175,188,176,179,157,151,137,102,82,0,0
Wolfsburg,1,5,14,30,56,80,99,150,154,171,171,184,198,190,150,151,116,80,0,0
Nurnberg,5,16,53,91,156,178,207,220,215,193,148,129,125,83,65,55,37,24,0,0
Aachen,0,1,1,8,11,20,42,48,59,89,112,145,180,215,207,257,287,318,0,0
Cottbus,0,0,3,2,11,12,19,33,66,70,82,144,133,193,238,259,317,418,0,0
Dortmund,8,39,97,204,259,231,223,204,183,141,112,89,62,43,41,29,21,14,0,0
Ein Frankfurt,0,2,6,22,42,66,78,107,149,149,178,174,198,187,186,156,145,155,0,0
Hertha,10,35,91,166,174,234,222,212,157,157,147,114,92,59,58,32,30,10,0,0
Werder Bremen,576,744,343,165,80,40,23,12,12,4,0,0,0,1,0,0,0,0,0,0
Bielefeld,0,0,5,10,33,42,64,78,94,122,125,166,169,184,202,236,236,234,0,0
Bochum,1,0,1,9,16,26,38,58,79,113,123,140,151,185,221,233,297,309,0,0
