Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Montpellier,22,128,164,202,242,257,212,186,161,117,116,61,52,21,26,12,10,8,2,1
Evian Thonon Gaillard,0,1,5,4,16,29,76,68,104,104,139,173,191,193,188,171,164,140,123,111
Nancy,0,0,3,14,8,23,34,53,84,87,124,160,176,186,200,195,171,194,150,138
Nice,1,7,21,43,67,90,137,145,185,212,200,181,153,144,117,88,85,55,38,31
Paris SG,1592,284,77,29,12,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rennes,5,28,78,104,149,179,206,227,204,180,141,122,112,73,61,50,32,28,14,7
Sochaux,0,0,1,1,2,11,17,26,40,72,94,112,129,141,185,209,219,240,272,229
St Etienne,34,206,283,301,273,248,199,143,108,76,55,27,11,18,9,3,4,0,2,0
Troyes,0,0,0,3,5,10,14,27,39,62,84,95,129,178,136,199,213,246,267,293
Reims,0,0,0,0,3,10,15,25,28,70,84,93,132,150,165,223,212,255,243,292
Lille,161,525,416,294,183,149,98,70,41,29,14,12,4,2,1,0,1,0,0,0
Bastia,0,0,1,6,17,25,32,68,75,97,110,120,168,177,157,205,225,182,195,140
Brest,0,0,0,1,0,4,7,9,23,32,50,74,79,115,161,158,226,261,331,469
Lorient,0,12,19,39,78,93,132,151,201,195,185,184,164,130,138,96,72,50,38,23
Lyon,90,319,369,336,259,202,134,90,79,41,37,14,15,7,6,0,1,1,0,0
Toulouse,4,35,73,93,162,171,198,220,193,184,147,149,95,82,75,36,34,27,17,5
Valenciennes,0,7,16,29,50,53,87,134,140,193,177,185,172,163,157,129,108,85,74,41
Ajaccio,0,0,1,3,4,13,21,39,55,75,101,137,143,165,177,207,198,216,229,216
Bordeaux,12,96,137,192,201,220,228,214,160,133,113,84,61,52,36,18,24,11,4,4
Marseille,79,352,336,306,269,209,153,104,79,41,29,17,14,3,5,1,1,1,1,0
