Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Auxerre,1,18,29,100,131,185,203,188,185,186,142,133,127,100,86,81,48,39,13,5
Grenoble,0,0,0,0,0,5,4,2,6,19,18,34,51,67,95,115,203,298,494,589
Le Mans,0,0,1,2,6,13,17,41,52,68,75,98,114,149,178,210,263,247,272,194
Monaco,1,6,14,50,84,142,159,183,190,174,182,150,157,132,133,76,57,67,30,13
Montpellier,3,14,26,72,129,162,194,198,193,163,164,139,128,105,97,93,52,52,15,1
Rennes,22,50,107,226,298,279,220,192,144,106,90,84,56,39,35,28,14,6,2,2
St Etienne,0,1,11,19,42,57,115,120,138,164,139,175,154,164,165,149,168,105,69,45
Valenciennes,1,0,0,12,24,51,66,106,101,153,161,162,153,190,174,196,161,137,97,55
Bordeaux,552,520,443,235,122,59,30,18,8,7,3,0,2,1,0,0,0,0,0,0
Lille,123,205,395,467,328,201,110,52,48,28,16,7,5,7,4,1,1,2,0,0
Lens,0,1,4,15,33,48,77,97,108,109,119,175,168,183,172,164,169,152,129,77
Lorient,0,0,6,25,64,91,121,166,162,163,173,182,172,174,140,131,94,76,42,18
Lyon,770,573,347,179,76,29,14,6,4,0,1,0,1,0,0,0,0,0,0,0
Nancy,0,2,4,6,42,51,89,96,117,132,142,159,173,148,207,172,160,142,101,57
Paris SG,31,61,134,248,308,286,236,183,121,112,88,62,54,19,22,17,12,5,0,1
Sochaux,0,2,6,15,30,45,63,75,108,103,160,148,162,174,164,195,204,170,116,60
Toulouse,2,9,22,64,124,185,166,165,202,177,169,165,120,122,92,87,48,44,25,12
Boulogne,0,0,0,0,0,0,4,6,8,8,13,15,38,45,66,112,163,267,453,802
Marseille,494,538,444,255,131,65,37,18,8,6,3,1,0,0,0,0,0,0,0,0
Nice,0,0,7,10,28,46,75,88,97,122,142,111,165,181,170,173,183,191,142,69
