Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Stuttgart,55,208,280,334,303,243,177,137,86,64,35,35,15,17,4,4,3,0,0,0
Bayern Munich,1559,290,84,45,12,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0
Bochum,0,3,4,11,12,35,63,86,102,144,156,171,201,212,245,197,191,167,0,0
Ein Frankfurt,0,5,17,40,55,92,126,161,170,188,223,206,187,158,122,125,79,46,0,0
Hannover,1,7,26,47,76,130,146,187,207,205,217,172,165,136,121,73,51,33,0,0
Leverkusen,19,154,260,275,309,284,245,162,111,68,33,31,25,7,12,4,1,0,0,0
Wolfsburg,1,9,42,63,124,171,165,223,207,230,172,150,140,107,87,56,29,24,0,0
Dortmund,2,20,43,91,137,161,249,231,212,191,155,127,136,81,81,53,21,9,0,0
Nurnberg,3,10,23,57,97,142,167,214,209,203,189,196,143,118,97,74,37,21,0,0
Karlsruhe,0,1,4,9,23,32,53,87,116,130,155,194,193,205,232,195,220,151,0,0
Bielefeld,0,1,1,10,18,17,52,60,109,123,176,186,195,238,217,246,191,160,0,0
Duisburg,0,0,1,7,5,6,19,31,51,69,93,107,157,202,234,291,340,387,0,0
Hansa Rostock,0,0,0,1,1,4,7,29,41,63,72,108,126,176,212,297,384,479,0,0
Hertha,2,13,24,49,93,124,156,150,200,203,200,168,163,151,110,89,70,35,0,0
Schalke 04,117,478,430,343,223,157,92,51,44,26,16,11,6,4,2,0,0,0,0,0
Werder Bremen,175,538,441,304,209,130,87,52,35,9,8,5,4,2,1,0,0,0,0,0
Cottbus,0,0,1,0,6,3,10,22,31,57,74,103,134,179,217,293,382,488,0,0
Hamburg,66,263,319,314,297,264,184,115,69,26,26,30,10,7,6,3,1,0,0,0
